date,assets,market,positions,max_assets,dd
2020-01-02,1000000.0,BULL,0,1000000.0,0.0
2020-01-03,1000981.8952082001,BULL,6,1000981.8952082001,0.0
2020-01-06,1019905.2611762001,BULL,9,1019905.2611762001,0.0
2020-01-07,1028672.9044996001,BULL,10,1028672.9044996001,0.0
2020-01-08,1030554.0263425,BULL,8,1030554.0263425,0.0
2020-01-09,1029897.9585657,BULL,10,1030554.0263425,0.0006366165771322461
2020-01-10,1004841.7555769,BULL,10,1030554.0263425,0.024949949355740686
2020-01-13,1010704.4403036999,BULL,8,1030554.0263425,0.019261082419179402
2020-01-14,1015291.0851589001,BULL,6,1030554.0263425,0.014810423125286307
2020-01-15,1001229.9491753001,BULL,9,1030554.0263425,0.02845467235839434
2020-01-16,1012223.9671977,BULL,8,1030554.0263425,0.017786606695288417
2020-01-17,1012222.9671977,BULL,8,1030554.0263425,0.01778757704713261
2020-01-20,1026087.4226921,BULL,7,1030554.0263425,0.004334177089436254
2020-01-21,1021891.0480489001,BULL,9,1030554.0263425,0.008406136963382072
2020-01-22,1027157.82099066,BULL,7,1030554.0263425,0.003295514126409606
2020-01-23,995324.133845652,BULL,4,1030554.0263425,0.03418539115497038
2020-02-03,975592.6479074815,BULL,6,1030554.0263425,0.053331874923704684
2020-02-04,980901.8013570539,BULL,7,1030554.0263425,0.048180128082818616
2020-02-05,1000142.5616241939,BULL,6,1030554.0263425,0.02950982087396064
2020-02-06,1015456.8820401939,BULL,5,1030554.0263425,0.014649541815761774
2020-02-07,1009126.936957154,BULL,4,1030554.0263425,0.020791815700717906
2020-02-10,975604.0446417539,BULL,5,1030554.0263425,0.05332081608158574
2020-02-11,975562.4310345165,BULL,7,1030554.0263425,0.05336119592211195
2020-02-12,996149.0806669164,BULL,10,1030554.0263425,0.033384902485596835
2020-02-13,983522.5045229165,BULL,9,1030554.0263425,0.045637123932746416
2020-02-14,990525.6713705165,BULL,9,1030554.0263425,0.038841588066999826
2020-02-17,1012202.5408205165,BULL,8,1030554.0263425,0.017807397819902784
2020-02-18,1013451.0525701166,BULL,5,1030554.0263425,0.01659590214118412
2020-02-19,1005939.0712003165,BULL,8,1030554.0263425,0.023885167116898722
2020-02-20,1021001.1260871913,BULL,6,1030554.0263425,0.009269674380112369
2020-02-21,1017955.8840061913,BULL,9,1030554.0263425,0.012224630649419041
2020-02-24,1020935.6790781913,BULL,8,1030554.0263425,0.009333181005992305
2020-02-25,1017875.3034749913,BULL,8,1030554.0263425,0.01230282211647479
2020-02-26,973656.5859427914,BULL,7,1030554.0263425,0.05521053622160996
2020-02-27,981209.1023059915,BULL,4,1030554.0263425,0.047881938040295405
2020-02-28,972532.6778687774,BULL,6,1030554.0263425,0.056301122493930704
2020-03-02,983491.9210483774,BULL,5,1030554.0263425,0.04566680066366721
2020-03-03,985773.1926197775,BULL,8,1030554.0263425,0.043453164587258404
2020-03-04,988496.2778331775,BULL,9,1030554.0263425,0.04081081382854626
