ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
511010.SH,20260313,140.739,140.757,140.8,140.726,140.772,0.033,0.0234,13807.0,194367.506
511010.SH,20260312,140.735,140.699,140.765,140.698,140.739,0.004,0.0028,51026.0,718108.32
511010.SH,20260311,140.745,140.732,140.755,140.689,140.735,-0.01,-0.0071,36833.0,518344.812
511010.SH,20260310,140.737,140.762,140.795,140.68,140.745,0.008,0.0057,23681.0,333197.917
511010.SH,20260309,140.906,140.908,140.912,140.72,140.737,-0.169,-0.1199,97514.0,1372498.93
511010.SH,20260306,140.87,140.873,140.913,140.873,140.906,0.036,0.0256,257192.0,3623453.034
511010.SH,20260305,140.929,140.93,140.933,140.833,140.87,-0.059,-0.0419,102599.0,1445202.167
511010.SH,20260304,140.808,140.825,140.94,140.802,140.929,0.121,0.0859,6088.0,85755.837
511010.SH,20260303,140.819,140.819,140.825,140.77,140.808,-0.011,-0.0078,15663.0,220550.049
511010.SH,20260302,140.698,140.699,140.819,140.699,140.819,0.121,0.086,8053.64,113379.94
511010.SH,20260227,140.61,140.61,140.701,140.595,140.698,0.088,0.0626,116101.0,1633170.98
511010.SH,20260226,140.745,140.745,140.753,140.597,140.61,-0.135,-0.0959,8914.0,125362.222
511010.SH,20260225,140.861,140.861,140.861,140.737,140.745,-0.116,-0.0824,9877.0,139060.363
511010.SH,20260224,140.845,140.835,140.885,140.804,140.861,0.016,0.0114,10633.0,149773.178
511010.SH,20260213,140.791,140.89,140.91,140.77,140.845,0.054,0.0384,18809.0,264879.853
511010.SH,20260212,140.733,140.729,140.798,140.703,140.791,0.058,0.0412,6040.0,85023.235
511010.SH,20260211,140.669,140.675,140.743,140.668,140.733,0.064,0.0455,6064.0,85336.447
511010.SH,20260210,140.672,140.68,140.692,140.579,140.669,-0.003,-0.0021,5421.2,76259.714
511010.SH,20260209,140.586,140.58,140.677,140.543,140.672,0.086,0.0612,8479.0,119245.705
511010.SH,20260206,140.55,140.6,140.6,140.513,140.586,0.036,0.0256,12868.0,180871.019
511010.SH,20260205,140.466,140.466,140.552,140.435,140.55,0.084,0.0598,7987.0,112208.158
511010.SH,20260204,140.481,140.5,140.5,140.436,140.466,-0.015,-0.0107,201750.0,2833934.279
511010.SH,20260203,140.432,140.414,140.495,140.375,140.481,0.049,0.0349,17589.0,247050.033
511010.SH,20260202,140.429,140.449,140.477,140.4,140.432,0.003,0.0021,203063.3,2851431.322
511010.SH,20260130,140.443,140.444,140.497,140.406,140.429,-0.014,-0.01,9467.0,132960.114
511010.SH,20260129,140.357,140.364,140.506,140.352,140.443,0.086,0.0613,174755.0,2455320.58
511010.SH,20260128,140.335,140.316,140.364,140.315,140.357,0.022,0.0157,20130.0,282511.254
511010.SH,20260127,140.322,140.324,140.376,140.308,140.335,0.013,0.0093,206811.0,2902384.149
511010.SH,20260126,140.349,140.352,140.38,140.311,140.322,-0.027,-0.0192,14382.3,201839.995
511010.SH,20260123,140.302,140.283,140.398,140.271,140.349,0.047,0.0335,185941.0,2609245.846
511010.SH,20260122,140.315,140.28,140.344,140.28,140.302,-0.013,-0.0093,326892.0,4586112.978
511010.SH,20260121,140.318,140.321,140.345,140.253,140.315,-0.003,-0.0021,7478.0,104913.57
511010.SH,20260120,140.229,140.25,140.325,140.225,140.318,0.089,0.0635,131432.0,1843502.135
511010.SH,20260119,140.238,140.284,140.29,140.216,140.229,-0.009,-0.0064,194803.0,2731692.858
511010.SH,20260116,140.148,140.118,140.27,140.118,140.238,0.09,0.0642,28525.0,399848.109
511010.SH,20260115,140.093,140.093,140.204,140.042,140.148,0.055,0.0393,12254.0,171717.523
511010.SH,20260114,140.002,140.028,140.155,139.928,140.093,0.091,0.065,150378.0,2104882.648
511010.SH,20260113,139.962,139.98,140.015,139.924,140.002,0.04,0.0286,8034.21,112451.723
511010.SH,20260112,139.893,139.871,140.025,139.771,139.962,0.069,0.0493,16725.0,234056.872
511010.SH,20260109,139.904,139.904,139.909,139.81,139.893,-0.011,-0.0079,12286.0,171833.972
511010.SH,20260108,139.783,139.85,139.909,139.78,139.904,0.121,0.0866,39895.0,557781.282
511010.SH,20260107,139.86,139.801,139.87,139.702,139.783,-0.077,-0.0551,167378.0,2340480.836
511010.SH,20260106,139.965,139.965,139.97,139.792,139.86,-0.105,-0.075,112357.0,1570924.207
511010.SH,20260105,140.096,140.09,140.09,139.954,139.965,-0.131,-0.0935,12972.0,181611.918
511010.SH,20251231,140.093,140.099,140.104,140.025,140.096,0.003,0.0021,17226.0,241243.464
511010.SH,20251230,140.116,140.116,140.142,140.048,140.093,-0.023,-0.0164,22818.0,319708.291
511010.SH,20251229,140.285,140.267,140.315,140.07,140.116,-0.169,-0.1205,64110.0,898161.012
511010.SH,20251226,140.193,140.2,140.291,140.2,140.285,0.092,0.0656,21476.0,301239.032
511010.SH,20251225,140.894,140.894,140.926,140.832,140.847,-0.047,-0.0334,24865.0,350359.154
511010.SH,20251224,140.952,140.901,140.928,140.843,140.894,-0.058,-0.0411,27781.0,391354.276
511010.SH,20251223,140.715,140.711,140.965,140.707,140.952,0.237,0.1684,112949.0,1590619.85
511010.SH,20251222,140.787,140.79,140.798,140.672,140.715,-0.072,-0.0511,32913.1,463266.345
511010.SH,20251219,140.713,140.75,140.798,140.721,140.787,0.074,0.0526,20448.0,287806.491
511010.SH,20251218,140.629,140.636,140.742,140.597,140.713,0.084,0.0597,15296.3,215201.281
511010.SH,20251217,140.536,140.553,140.633,140.52,140.629,0.093,0.0662,86837.2,1220560.151
511010.SH,20251216,140.562,140.535,140.611,140.528,140.536,-0.026,-0.0185,77847.0,1094298.398
511010.SH,20251215,140.621,140.592,140.624,140.552,140.562,-0.059,-0.042,9522.0,133867.934
511010.SH,20251212,140.66,140.748,140.748,140.57,140.621,-0.039,-0.0277,121592.6,1710045.851
511010.SH,20251211,140.566,140.588,140.671,140.572,140.66,0.094,0.0669,71021.0,998954.33
511010.SH,20251210,140.545,140.529,140.579,140.52,140.566,0.021,0.0149,34187.0,480455.777
511010.SH,20251209,140.468,140.511,140.561,140.509,140.545,0.077,0.0548,46431.0,652541.606
511010.SH,20251208,140.483,140.506,140.506,140.405,140.468,-0.015,-0.0107,10304.0,144721.563
