ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000832.CSI,20260313,508.6684,513.0513,514.8264,508.528,513.9924,-5.324,-1.0358,42096.9,71942939.815
000832.CSI,20260312,513.9924,519.6092,520.1297,513.6839,519.4661,-5.4737,-1.0537,36381.55,62706136.17
000832.CSI,20260311,519.4661,518.1893,521.1202,517.5851,517.6809,1.7852,0.3448,36310.26,64842368.848
000832.CSI,20260310,517.6809,513.4997,517.8141,513.4997,512.7687,4.9122,0.958,35230.72,64359889.215
000832.CSI,20260309,512.7687,512.6013,513.8121,503.5848,514.3218,-1.5531,-0.302,41560.23,73588931.49
000832.CSI,20260306,514.3218,512.7241,515.5288,510.0496,512.9757,1.3461,0.2624,35616.51,66252786.531
000832.CSI,20260305,512.9757,516.2898,517.7907,511.5639,513.628,-0.6523,-0.127,38633.07,72359765.785
000832.CSI,20260304,513.628,513.9294,517.4077,509.4548,514.8227,-1.1947,-0.2321,43939.38,77828693.811
000832.CSI,20260303,514.8227,524.5229,526.0849,514.2984,524.3001,-9.4774,-1.8076,44673.15,75939915.792
000832.CSI,20260302,524.3001,522.9692,526.9094,522.3155,525.2022,-0.9021,-0.1718,35629.35,66502590.685
000832.CSI,20260227,525.2022,525.3098,525.8448,521.5196,525.9313,-0.7291,-0.1386,35462.96,66788911.58
000832.CSI,20260226,525.9313,532.117,532.3343,525.0613,531.4125,-5.4812,-1.0314,36377.91,69188267.462
000832.CSI,20260225,531.4125,531.7207,534.235,529.9851,530.7561,0.6564,0.1237,40655.8,75050056.262
000832.CSI,20260224,530.7561,528.5166,532.3277,527.6973,526.4351,4.321,0.8208,34464.77,61523373.15
000832.CSI,20260213,526.4351,528.7189,531.2441,525.7172,528.7335,-2.2984,-0.4347,37099.59,71899443.921
000832.CSI,20260212,528.7335,526.7135,530.1616,525.3087,526.3602,2.3733,0.4509,42399.3,81328934.414
000832.CSI,20260211,526.3602,526.292,529.1919,525.8342,526.0883,0.2719,0.0517,38690.57,70719119.057
000832.CSI,20260210,526.0883,528.1838,528.2017,524.0751,527.3115,-1.2232,-0.232,38998.46,72798746.287
000832.CSI,20260209,527.3115,523.5897,527.6795,523.5897,520.785,6.5265,1.2532,45139.71,80778752.845
000832.CSI,20260206,520.785,515.6422,522.9276,513.8857,516.8868,3.8982,0.7542,46086.79,82151942.755
000832.CSI,20260205,516.8868,520.0936,520.0936,511.9506,521.2692,-4.3824,-0.8407,40022.77,70118369.366
000832.CSI,20260204,521.2692,521.8421,523.4764,517.1867,521.461,-0.1918,-0.0368,47757.24,84967560.938
000832.CSI,20260203,521.461,510.2676,521.4945,510.2676,508.1166,13.3444,2.6262,52223.86,92441812.047
000832.CSI,20260202,508.1166,519.4166,519.6432,507.1933,520.5434,-12.4268,-2.3873,44521.25,76160310.74
000832.CSI,20260130,520.5434,528.9204,529.8058,520.0428,529.7175,-9.1741,-1.7319,44748.78,82022107.717
000832.CSI,20260129,529.7175,533.8793,536.2872,529.2886,533.4553,-3.7378,-0.7007,44181.64,81418008.293
000832.CSI,20260128,533.4553,529.8041,533.557,528.7531,528.9534,4.5019,0.8511,44219.79,81462950.726
000832.CSI,20260127,528.9534,528.0563,530.6124,522.3496,528.1381,0.8153,0.1544,45794.51,85160873.82
000832.CSI,20260126,528.1381,535.7909,537.6017,526.6108,534.4828,-6.3447,-1.1871,51265.63,92791492.068
000832.CSI,20260123,534.4828,530.0366,535.7392,530.0366,527.7333,6.7495,1.279,50931.14,95683878.041
000832.CSI,20260122,527.7333,524.0468,527.8262,523.5849,522.9487,4.7846,0.9149,45878.44,88746534.837
000832.CSI,20260121,522.9487,518.1186,523.8756,516.0311,518.2923,4.6564,0.8984,46307.47,88992353.043
000832.CSI,20260120,518.2923,522.1153,523.6941,516.4831,521.6514,-3.3591,-0.6439,45300.62,85190191.084
000832.CSI,20260119,521.6514,519.4404,522.4888,518.291,519.3144,2.337,0.45,41779.06,80984538.02
000832.CSI,20260116,519.3144,517.9428,522.1555,517.7013,516.902,2.4124,0.4667,49776.36,98934827.525
000832.CSI,20260115,516.902,516.0146,517.5342,512.8729,515.8722,1.0298,0.1996,48249.51,90615725.393
000832.CSI,20260114,515.8722,515.4265,523.9112,514.2791,515.0746,0.7976,0.1549,54634.98,109859500.735
000832.CSI,20260113,515.0746,521.791,522.2814,514.2182,520.8238,-5.7492,-1.1039,52231.56,102232177.112
000832.CSI,20260112,520.8238,514.6583,521.6159,514.6497,513.7889,7.0349,1.3692,55934.79,107972913.291
000832.CSI,20260109,513.7889,509.5184,514.5751,509.2301,509.2569,4.532,0.8899,50749.6,101204595.583
000832.CSI,20260108,509.2569,507.6683,512.2235,507.1495,507.2762,1.9807,0.3905,50657.04,97051291.976
000832.CSI,20260107,507.2762,506.2205,509.5565,505.2512,505.7676,1.5086,0.2983,48785.71,92081404.856
000832.CSI,20260106,505.7676,499.6714,505.8505,499.6714,499.0064,6.7612,1.3549,52344.51,94733954.113
000832.CSI,20260105,499.0064,492.6973,499.475,492.6847,491.9017,7.1047,1.4443,44096.66,83432799.127
000832.CSI,20251231,491.9017,492.4686,493.7279,490.9938,491.8273,0.0744,0.0151,38362.16,74679634.553
