ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
399006.SZ,20260313,9146168261366.0,7839647895749.0,147984936789.0,121940100657.0,86636380305.0,2.64,3.72,44.08,40.94,5.56
399006.SZ,20260312,9174874624217.0,7869242422921.0,147984936464.0,121940100332.0,86636379980.0,2.72,3.83,44.9,41.2,5.59
399006.SZ,20260311,9252301735625.0,7939161480194.0,147984936464.0,121940100332.0,86631554584.0,2.96,4.16,45.28,41.54,5.63
399006.SZ,20260310,9132837544804.0,7828561014018.0,147980149732.0,121935713600.0,86639615810.0,2.97,4.17,44.69,40.97,5.56
399006.SZ,20260309,8871168519127.0,7587486844580.0,147972582032.0,121935717331.0,86911392191.0,3.14,4.41,48.89,41.52,5.49
399006.SZ,20260306,8913868359752.0,7637294571108.0,147972582032.0,121935717331.0,86911392191.0,2.12,2.98,49.12,41.71,5.52
399006.SZ,20260305,8872669425198.0,7607875531135.0,147972982484.0,121935690855.0,86911365715.0,2.48,3.48,48.9,41.52,5.49
399006.SZ,20260304,8755557774189.0,7493247380504.0,147972982484.0,121935690855.0,86911365715.0,2.46,3.46,48.25,40.97,5.42
399006.SZ,20260303,8857422969193.0,7591766255383.0,147972982484.0,121935690855.0,86911365715.0,3.65,5.12,48.81,41.45,5.48
399006.SZ,20260302,9095790103594.0,7793805745200.0,147972982484.0,121934565955.0,86905285407.0,3.52,4.94,50.13,42.56,5.63
399006.SZ,20260227,9161989767142.0,7851702162241.0,147972982484.0,121934566105.0,86905285557.0,3.31,4.64,50.49,43.32,5.69
399006.SZ,20260226,9239440159700.0,7925904886570.0,147972982484.0,121934566105.0,86905285557.0,3.33,4.68,50.92,43.49,5.74
399006.SZ,20260225,9260672850192.0,7941217174965.0,147890734381.0,121934566105.0,86905285557.0,3.32,4.66,51.04,43.59,5.76
399006.SZ,20260224,9150110954727.0,7843894375123.0,147890734381.0,121934566105.0,86905285557.0,3.17,4.45,50.43,42.5,5.69
399006.SZ,20260213,9068278568992.0,7762578017154.0,147890733836.0,121934565560.0,86905285012.0,3.08,4.33,49.98,42.12,5.64
399006.SZ,20260212,9201122640675.0,7883833094762.0,147890733836.0,121934565560.0,86882850812.0,3.49,4.89,50.71,42.74,5.72
399006.SZ,20260211,9080107791926.0,7773238236943.0,147788662157.0,121940152281.0,86888437533.0,3.3,4.63,50.04,42.18,5.66
399006.SZ,20260210,9157037071378.0,7840569005049.0,147786260194.0,121937750318.0,86886035570.0,3.51,4.92,50.46,42.55,5.71
399006.SZ,20260209,9188233960946.0,7868592762180.0,147786250986.0,121932519174.0,86878104426.0,3.55,4.98,50.64,42.7,5.73
399006.SZ,20260206,8945339839592.0,7635662144923.0,147733590806.0,121558698870.0,86833717394.0,3.26,4.56,49.3,41.57,5.59
399006.SZ,20260205,9003033181117.0,7684288789697.0,147733544574.0,121556875403.0,86829378627.0,3.55,4.97,49.62,41.84,5.63
399006.SZ,20260204,9135257595682.0,7801991476744.0,147733544574.0,121556875403.0,86827310227.0,3.91,5.48,50.34,42.45,5.71
399006.SZ,20260203,9132188933920.0,7805706872222.0,147733544221.0,121556875050.0,86827309874.0,3.75,5.25,50.33,42.44,5.71
399006.SZ,20260202,8955732928883.0,7655617768524.0,147733544205.0,121556875034.0,86815259233.0,3.85,5.39,49.35,41.62,5.6
399006.SZ,20260130,9181577787925.0,7846512022971.0,147732023130.0,121550108204.0,86809211393.0,4.24,5.93,50.63,42.65,5.74
399006.SZ,20260129,9108954616870.0,7765126315526.0,147730555210.0,121548717909.0,86807821098.0,4.88,6.83,50.23,42.31,5.69
