ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
H30269.CSI,20260313,11550.1624,11527.461,11624.1873,11519.4239,11526.562,23.6004,0.2047,41160658.96,45185253.915
H30269.CSI,20260312,11526.562,11473.8591,11550.9134,11440.1036,11464.3255,62.2365,0.5429,37032492.82,42345797.685
H30269.CSI,20260311,11464.3255,11325.384,11473.2589,11270.0785,11340.5808,123.7447,1.0912,37400345.76,41927138.619
H30269.CSI,20260310,11340.5808,11309.3138,11348.1738,11263.8258,11373.3768,-32.796,-0.2884,36929422.33,41550453.993
H30269.CSI,20260309,11373.3768,11418.9908,11443.0735,11332.3189,11367.8234,5.5534,0.0489,48505832.23,59362416.122
H30269.CSI,20260306,11367.8234,11276.4507,11378.8991,11274.9054,11309.8968,57.9266,0.5122,34033858.41,38654349.353
H30269.CSI,20260305,11309.8968,11271.6831,11352.8646,11229.9216,11280.9902,28.9066,0.2562,40425946.38,47006939.24
H30269.CSI,20260304,11280.9902,11397.5995,11399.8757,11220.2046,11424.7149,-143.7247,-1.258,60795905.57,71222840.89
H30269.CSI,20260303,11424.7149,11352.5065,11506.8336,11325.2275,11321.9039,102.811,0.9081,66927873.07,77352449.331
H30269.CSI,20260302,11321.9039,11215.1559,11334.9192,11184.3727,11211.9964,109.9075,0.9803,49827963.1,57086455.618
H30269.CSI,20260227,11211.9964,11179.5635,11247.1031,11169.6434,11177.5056,34.4908,0.3086,27319715.57,29807422.667
H30269.CSI,20260226,11177.5056,11199.7471,11249.1383,11141.5643,11199.5939,-22.0883,-0.1972,30308547.99,35850709.044
H30269.CSI,20260225,11199.5939,11234.2316,11305.1007,11181.4649,11216.7071,-17.1132,-0.1526,37675055.75,39063110.396
H30269.CSI,20260224,11216.7071,11215.0647,11254.3827,11198.4769,11144.7749,71.9322,0.6454,29560477.81,35365833.504
H30269.CSI,20260213,11144.7749,11257.897,11264.0612,11134.6958,11264.2016,-119.4267,-1.0602,31194941.62,33623124.116
H30269.CSI,20260212,11264.2016,11375.8001,11375.8965,11250.9869,11369.3966,-105.195,-0.9252,33289085.44,34232354.279
H30269.CSI,20260211,11369.3966,11342.0083,11386.2129,11305.8506,11342.3017,27.0949,0.2389,25006413.0,26777907.653
H30269.CSI,20260210,11342.3017,11320.3196,11358.9507,11289.7876,11314.0633,28.2384,0.2496,29433632.35,30755991.38
H30269.CSI,20260209,11314.0633,11258.4852,11323.2713,11233.7954,11262.0053,52.058,0.4622,30072032.16,34643113.05
H30269.CSI,20260206,11262.0053,11278.8574,11324.3662,11218.0893,11299.0111,-37.0058,-0.3275,37941291.76,38837132.216
H30269.CSI,20260205,11299.0111,11193.062,11320.7489,11184.2835,11172.6629,126.3482,1.1309,43728153.35,46787516.69
H30269.CSI,20260204,11172.6629,11014.0904,11184.4584,11011.5201,11006.1243,166.5386,1.5131,39828568.96,42772841.804
H30269.CSI,20260203,11006.1243,11057.2274,11058.2434,10938.8735,11026.0675,-19.9432,-0.1809,42771229.23,44952231.829
H30269.CSI,20260202,11026.0675,11136.4574,11204.7769,11016.9204,11168.1959,-142.1284,-1.2726,53575849.22,60290882.325
H30269.CSI,20260130,11168.1959,11178.9069,11267.4203,11126.0104,11176.255,-8.0591,-0.0721,51533055.51,62190947.902
H30269.CSI,20260129,11176.255,11033.2282,11181.8925,11001.3899,11016.8897,159.3653,1.4466,64345608.25,80178398.421
