ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
518880.SH,20260313,10.938,10.852,10.88,10.791,10.802,-0.136,-1.2434,3885245.33,4211610.423
518880.SH,20260312,10.974,10.928,10.956,10.892,10.938,-0.036,-0.328,3892379.02,4253167.289
518880.SH,20260311,10.956,11.026,11.028,10.964,10.974,0.018,0.1643,4754957.27,5230093.074
518880.SH,20260310,10.868,10.963,10.991,10.943,10.956,0.088,0.8097,4379328.78,4801155.476
518880.SH,20260309,10.873,10.858,10.95,10.793,10.868,-0.005,-0.046,8012132.16,8713281.061
518880.SH,20260306,10.964,10.834,10.937,10.831,10.873,-0.091,-0.83,4916711.93,5356472.276
518880.SH,20260305,10.98,10.98,11.014,10.889,10.964,-0.016,-0.1457,6536802.0,7165201.084
518880.SH,20260304,11.259,11.0,11.085,10.926,10.98,-0.279,-2.478,9979811.75,10981117.96
518880.SH,20260303,11.417,11.418,11.418,11.202,11.259,-0.158,-1.3839,9692849.41,10968192.369
518880.SH,20260302,10.933,11.368,11.419,11.214,11.417,0.484,4.427,11300971.71,12775642.356
518880.SH,20260227,10.913,10.92,10.95,10.911,10.933,0.02,0.1833,4631263.87,5063424.364
518880.SH,20260226,10.959,10.939,10.944,10.896,10.913,-0.046,-0.4197,4377669.76,4781387.315
518880.SH,20260225,10.95,10.953,10.992,10.92,10.959,0.009,0.0822,6074773.46,6656474.798
518880.SH,20260224,10.575,10.92,10.998,10.903,10.95,0.375,3.5461,7523137.23,8241565.507
518880.SH,20260213,10.72,10.582,10.617,10.508,10.575,-0.145,-1.3526,7693922.58,8131354.16
518880.SH,20260212,10.758,10.72,10.752,10.7,10.72,-0.038,-0.3532,6004793.5,6445229.523
518880.SH,20260211,10.669,10.704,10.765,10.7,10.758,0.089,0.8342,6818267.14,7317564.815
518880.SH,20260210,10.719,10.686,10.733,10.661,10.669,-0.05,-0.4665,7026000.61,7513073.622
518880.SH,20260209,10.357,10.72,10.75,10.61,10.719,0.362,3.4952,11612227.45,12418166.669
518880.SH,20260206,10.523,10.079,10.523,10.05,10.357,-0.166,-1.5775,18412789.75,19034272.998
518880.SH,20260205,10.867,10.61,10.695,10.3,10.523,-0.344,-3.1655,19090454.95,20057436.535
518880.SH,20260204,10.422,10.795,10.904,10.738,10.867,0.445,4.2698,14242989.36,15412917.353
518880.SH,20260203,9.908,10.355,10.461,10.105,10.422,0.514,5.1877,21009166.76,21613177.107
518880.SH,20260202,11.009,9.908,10.245,9.908,9.908,-1.101,-10.0009,18998204.2,19145014.244
518880.SH,20260130,11.904,11.471,11.533,10.8,11.009,-0.895,-7.5185,23016096.92,25777505.557
518880.SH,20260129,11.28,11.918,11.977,11.796,11.904,0.624,5.5319,14971079.26,17799095.491
518880.SH,20260128,10.934,11.11,11.288,11.109,11.28,0.346,3.1644,10662010.04,11961498.145
518880.SH,20260127,10.924,10.883,10.946,10.848,10.934,0.01,0.0915,7711072.5,8395732.861
518880.SH,20260126,10.617,10.886,10.955,10.848,10.924,0.307,2.8916,9604744.83,10463068.625
518880.SH,20260123,10.341,10.618,10.643,10.585,10.617,0.276,2.669,7298894.96,7746553.192
518880.SH,20260122,10.377,10.29,10.343,10.23,10.341,-0.036,-0.3469,7196858.37,7398945.407
518880.SH,20260121,10.082,10.365,10.501,10.322,10.377,0.295,2.926,9845096.22,10230345.643
518880.SH,20260120,10.006,10.005,10.095,9.983,10.082,0.076,0.7595,5338067.06,5362959.212
518880.SH,20260119,9.857,9.962,10.009,9.96,10.006,0.149,1.5116,4806211.54,4797229.646
518880.SH,20260116,9.867,9.851,9.874,9.828,9.857,-0.01,-0.1013,3278431.49,3228858.975
518880.SH,20260115,9.922,9.861,9.883,9.82,9.867,-0.055,-0.5543,5542922.06,5460435.94
518880.SH,20260114,9.793,9.871,9.925,9.869,9.922,0.129,1.3173,4369521.17,4321616.075
518880.SH,20260113,9.777,9.79,9.825,9.771,9.793,0.016,0.1636,3982367.25,3901169.996
518880.SH,20260112,9.592,9.779,9.791,9.736,9.777,0.185,1.9287,4935017.0,4822414.247
518880.SH,20260109,9.511,9.544,9.596,9.544,9.592,0.081,0.8516,3791903.9,3629946.415
518880.SH,20260108,9.518,9.555,9.559,9.474,9.511,-0.007,-0.0735,4838349.91,4604940.099
518880.SH,20260107,9.577,9.6,9.601,9.511,9.518,-0.059,-0.6161,6163985.14,5894333.39
518880.SH,20260106,9.495,9.536,9.606,9.528,9.577,0.082,0.8636,5313457.38,5085365.304
518880.SH,20260105,9.301,9.421,9.499,9.421,9.495,0.194,2.0858,6832710.28,6465146.234
518880.SH,20251231,9.363,9.359,9.392,9.196,9.301,-0.062,-0.6622,8873154.17,8255346.608
518880.SH,20251230,9.563,9.272,9.402,9.272,9.363,-0.2,-2.0914,8615558.22,8058585.692
518880.SH,20251229,9.65,9.64,9.667,9.55,9.563,-0.087,-0.9016,7144966.69,6877104.094
518880.SH,20251226,9.566,9.67,9.68,9.618,9.65,0.084,0.8781,4898253.36,4726243.848
518880.SH,20251225,9.642,9.571,9.58,9.539,9.566,-0.076,-0.7882,4311576.19,4123112.968
518880.SH,20251224,9.639,9.719,9.722,9.613,9.642,0.003,0.0311,7384368.99,7136924.986
