ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
513100.SH,20260313,1.784,1.774,1.774,1.766,1.767,-0.017,-0.9529,1399437.9,247757.38
513100.SH,20260312,1.792,1.786,1.793,1.778,1.784,-0.008,-0.4464,1335210.0,238225.204
513100.SH,20260311,1.788,1.792,1.797,1.79,1.792,0.004,0.2237,1370908.01,245850.18
513100.SH,20260310,1.756,1.792,1.794,1.786,1.788,0.032,1.8223,2290753.0,409837.879
513100.SH,20260309,1.801,1.748,1.772,1.744,1.756,-0.045,-2.4986,3309945.25,580948.578
513100.SH,20260306,1.8,1.794,1.804,1.79,1.801,0.001,0.0556,1276101.1,229278.472
513100.SH,20260305,1.762,1.79,1.802,1.79,1.8,0.038,2.1566,2712780.81,487045.711
513100.SH,20260304,1.786,1.779,1.783,1.76,1.762,-0.024,-1.3438,2311737.75,409326.432
513100.SH,20260303,1.802,1.81,1.812,1.783,1.786,-0.016,-0.8879,1957699.0,351630.795
513100.SH,20260302,1.819,1.804,1.818,1.8,1.802,-0.017,-0.9346,1923465.34,347670.471
513100.SH,20260227,1.832,1.816,1.823,1.816,1.819,-0.013,-0.7096,1234306.52,224528.674
513100.SH,20260226,1.825,1.839,1.841,1.831,1.832,0.007,0.3836,1560805.0,286430.531
513100.SH,20260225,1.823,1.832,1.837,1.824,1.825,0.002,0.1097,1367577.67,250206.24
513100.SH,20260224,1.83,1.821,1.824,1.81,1.823,-0.007,-0.3825,1585211.0,288055.017
513100.SH,20260213,1.836,1.81,1.833,1.807,1.83,-0.006,-0.3268,2241111.81,407603.92
513100.SH,20260212,1.841,1.84,1.847,1.833,1.836,-0.005,-0.2716,1574970.58,289696.313
513100.SH,20260211,1.844,1.84,1.843,1.839,1.841,-0.003,-0.1627,1094132.02,201427.474
513100.SH,20260210,1.847,1.851,1.854,1.842,1.844,-0.003,-0.1624,1536115.67,284057.452
513100.SH,20260209,1.813,1.846,1.85,1.841,1.847,0.034,1.8753,2035545.66,375820.258
513100.SH,20260206,1.84,1.809,1.818,1.805,1.813,-0.027,-1.4674,2796254.08,506740.548
513100.SH,20260205,1.853,1.835,1.843,1.831,1.84,-0.013,-0.7016,1884899.49,345974.787
513100.SH,20260204,1.872,1.849,1.855,1.841,1.853,-0.019,-1.015,2501767.51,462537.67
513100.SH,20260203,1.833,1.87,1.873,1.855,1.872,0.039,2.1277,2516214.52,469735.418
513100.SH,20260202,1.881,1.858,1.875,1.831,1.833,-0.048,-2.5518,3399120.39,628621.227
513100.SH,20260130,1.891,1.874,1.887,1.874,1.881,-0.01,-0.5288,1912240.0,359283.664
513100.SH,20260129,1.905,1.895,1.898,1.886,1.891,-0.014,-0.7349,1904562.3,360386.656
513100.SH,20260128,1.894,1.902,1.912,1.894,1.905,0.011,0.5808,3683997.0,701550.799
513100.SH,20260127,1.882,1.894,1.899,1.888,1.894,0.012,0.6376,2109184.29,399852.913
513100.SH,20260126,1.891,1.888,1.888,1.87,1.882,-0.009,-0.4759,2372021.0,445490.355
513100.SH,20260123,1.901,1.908,1.91,1.89,1.891,-0.01,-0.526,2367098.0,449491.529
513100.SH,20260122,1.875,1.896,1.906,1.894,1.901,0.026,1.3867,2307415.77,438507.589
513100.SH,20260121,1.876,1.862,1.879,1.856,1.875,-0.001,-0.0533,2331083.88,435445.341
513100.SH,20260120,1.887,1.887,1.89,1.871,1.876,-0.011,-0.5829,1700406.5,319538.3
513100.SH,20260119,1.904,1.886,1.896,1.883,1.887,-0.017,-0.8929,1902555.6,359432.671
513100.SH,20260116,1.901,1.904,1.906,1.899,1.904,0.003,0.1578,1527866.21,290524.176
