trade_date,nav_baseline
2018-01-03,998664.596106335
2018-01-04,999839.5736324001
2018-01-05,1002450.403745834
2018-01-08,1005492.9069948541
2018-01-09,1006179.141925616
2018-01-10,1006443.1759556674
2018-01-11,1005832.2975942707
2018-01-12,1008963.4285761263
2018-01-15,1005987.0005270878
2018-01-16,1008801.7970339571
2018-01-17,1007720.9252244561
2018-01-18,1008955.4879757626
2018-01-19,1010102.6075748093
2018-01-22,1014371.1301483569
2018-01-23,1019196.9737306931
2018-01-24,1023596.4923647838
2018-01-25,1022575.9368896448
2018-01-26,1022773.6130093692
2018-01-29,1017728.5564111294
2018-01-30,1012435.2934904795
2018-01-31,1009729.1982332022
2018-02-01,1004169.2196712716
2018-02-02,1006388.2778324336
2018-02-05,1005103.8379925902
2018-02-06,989616.1860942834
2018-02-07,987158.1207029553
2018-02-08,985078.7833450447
2018-02-09,971488.5610303076
2018-02-12,977825.9745619473
2018-02-13,981464.4776322165
2018-02-14,984146.2176539423
2018-02-22,989047.7061251474
2018-02-23,990317.2138822953
2018-02-26,996283.1215262118
2018-02-27,994626.2654168939
2018-02-28,992779.2078401207
2018-03-01,995879.4669754244
2018-03-02,993753.5426871736
2018-03-05,994451.2124313182
2018-03-06,998778.1722598022
2018-03-07,996103.2661881641
2018-03-08,998464.1584086602
2018-03-09,1000473.1979350704
2018-03-12,1003266.3969688254
2018-03-13,1001512.9540076668
2018-03-14,998892.877108446
2018-03-15,999122.7451910186
2018-03-16,997618.3609663785
2018-03-19,998178.0971876598
2018-03-20,997940.7097590162
2018-03-21,996455.1255447299
2018-03-22,995213.98231719
2018-03-23,987103.8170530535
2018-03-26,990503.675194031
2018-03-27,993662.2340096233
2018-03-28,988924.8309609509
2018-03-29,988569.7587855228
2018-03-30,992034.4058480934
2018-04-02,991923.7409101223
2018-04-03,990463.0816282314
2018-04-04,989641.6822198589
2018-04-09,991015.1481558904
2018-04-10,993309.2286074696
2018-04-11,994324.3391167677
2018-04-12,993712.3825396458
2018-04-13,993277.9032307541
2018-04-16,993719.7091174602
2018-04-17,990760.1435371473
2018-04-18,996454.9631488593
