trade_date,nav_cs20_full
2018-01-03,1000000.0
2018-01-04,1001813.4304440405
2018-01-05,1007487.8983640905
2018-01-08,1021719.3175254549
2018-01-09,1029428.1677560097
2018-01-10,1022331.3385643744
2018-01-11,1022730.442112863
2018-01-12,1024981.3655106219
2018-01-15,1022040.0497950106
2018-01-16,1018895.7764900834
2018-01-17,1017020.4113911222
2018-01-18,1020232.9973239556
2018-01-19,1019812.6977629494
2018-01-22,1026635.4988363042
2018-01-23,1032616.7323602658
2018-01-24,1037142.7712786123
2018-01-25,1035513.8074025494
2018-01-26,1034743.8126018995
2018-01-29,1024883.5251501758
2018-01-30,1019201.0253703176
2018-01-31,1014775.3162312679
2018-02-01,998029.3256296573
2018-02-02,999201.7019614583
2018-02-05,998360.2457781222
2018-02-06,974124.2243114974
2018-02-07,971053.8473398942
2018-02-08,973986.0274005064
2018-02-09,958073.7725935653
2018-02-12,969072.5668949689
2018-02-13,971152.1514909392
2018-02-14,971910.3218782819
2018-02-22,980503.872162825
2018-02-23,984162.415727897
2018-02-26,995676.07352234
2018-02-27,997106.5137665785
2018-02-28,992373.5944498812
2018-03-01,998512.4997072942
2018-03-02,996412.643683449
2018-03-05,994610.8630163444
2018-03-06,1000553.4849955053
2018-03-07,994765.8156283172
2018-03-08,1001484.7625695484
2018-03-09,1006490.3054261063
2018-03-12,1012412.2282348673
2018-03-13,1009965.3238835824
2018-03-14,1006752.3611797573
2018-03-15,998526.0553187333
2018-03-16,996504.415396413
2018-03-19,1004118.8607593228
2018-03-20,1009837.5190205436
2018-03-21,1005141.5484264137
2018-03-22,1008200.484566586
2018-03-23,982092.3713194939
2018-03-26,984413.9830713321
2018-03-27,991404.4119319044
2018-03-28,988943.489646241
2018-03-29,989590.1498261443
2018-03-30,997567.5243463169
2018-04-02,998126.014789181
2018-04-03,993355.6542694276
2018-04-04,993273.8382656701
2018-04-09,994780.2093228382
2018-04-10,993437.7222034032
2018-04-11,1004459.6433324704
2018-04-12,1013542.6511782353
2018-04-13,1008985.2628702207
2018-04-16,1004983.5444597492
2018-04-17,997616.7027451906
2018-04-18,1006877.7125940884
2018-04-19,1007303.2836668148
