trade_date,nav_replace_full
2018-01-03,999000.0
2018-01-04,998818.4335380215
2018-01-05,1001212.2876398168
2018-01-08,1004786.6623329063
2018-01-09,1006255.7017694844
2018-01-10,1004893.531429498
2018-01-11,1004543.488110257
2018-01-12,1009478.8691114115
2018-01-15,1008478.1237835736
2018-01-16,1007977.9612533079
2018-01-17,1007021.0733210512
2018-01-18,1008191.0982630367
2018-01-19,1009631.9286267303
2018-01-22,1012000.497030762
2018-01-23,1016569.1368336971
2018-01-24,1020676.1187126031
2018-01-25,1020638.8580228004
2018-01-26,1019203.3425500104
2018-01-29,1016076.7115535752
2018-01-30,1011729.9564372911
2018-01-31,1010876.7861637735
2018-02-01,1006928.7499509186
2018-02-02,1007953.5526232744
2018-02-05,1005060.6130594583
2018-02-06,996850.4482195899
2018-02-07,996616.2331884146
2018-02-08,995099.0244578441
2018-02-09,990783.0346804432
2018-02-12,995854.1341817367
2018-02-13,998405.4202427315
2018-02-14,1000918.8553877933
2018-02-22,1001687.5417177512
2018-02-23,1003045.2879137627
2018-02-26,1007617.3613241797
2018-02-27,1007803.8290025969
2018-02-28,1005389.8014438046
2018-03-01,1007499.3390280097
2018-03-02,1006773.1469606841
2018-03-05,1007024.4991411368
2018-03-06,1009358.5173317654
2018-03-07,1008214.1703707029
2018-03-08,1009675.1433802149
2018-03-09,1009650.4673225918
2018-03-12,1011655.1574323684
2018-03-13,1011106.6531145809
2018-03-14,1009782.645264072
2018-03-15,1008366.8415934324
2018-03-16,1007957.46013808
2018-03-19,1008630.1514548885
2018-03-20,1008965.7723218733
2018-03-21,1008381.8564632821
2018-03-22,1009754.6560721169
2018-03-23,1006748.9007362614
2018-03-26,1009264.05973672
2018-03-27,1011087.3255065692
2018-03-28,1007824.5355934214
2018-03-29,1004998.8376190448
2018-03-30,1007691.9322132268
2018-04-02,1007870.6536110333
2018-04-03,1007835.5381791515
2018-04-04,1008179.5318492654
2018-04-09,1009450.3530529339
2018-04-10,1010681.9321279246
2018-04-11,1013324.8357728069
2018-04-12,1015094.2090793477
2018-04-13,1014612.3711063418
2018-04-16,1015607.318500309
2018-04-17,1014648.1220167958
2018-04-18,1020048.8190400157
2018-04-19,1019123.5798473225
2018-04-20,1015568.9985771468
2018-04-23,1013137.1162689906
2018-04-24,1015889.3949019499
2018-04-25,1015214.6298829825
2018-04-26,1013577.406220324
2018-04-27,1015149.2282445687
2018-05-02,1013761.2544400677
2018-05-03,1015065.9895565356
2018-05-04,1015689.3044740388
2018-05-07,1018144.977769976
2018-05-08,1018052.6122818275
2018-05-09,1018114.1299258352
2018-05-10,1019535.4156832421
2018-05-11,1018205.6386064828
2018-05-14,1017279.4210162864
2018-05-15,1016973.9573870756
2018-05-16,1014106.408320614
2018-05-17,1013484.7218319684
2018-05-18,1014202.6743890105
2018-05-21,1015440.478120208
2018-05-22,1016567.31444087
2018-05-23,1014837.0513659145
2018-05-24,1016436.2696733193
2018-05-25,1017367.2684581309
2018-05-28,1014424.1662849721
2018-05-29,1012349.9539980642
2018-05-30,1008494.2537398491
2018-05-31,1010162.1735896675
2018-06-01,1008851.1714313107
2018-06-04,1008664.5629871183
2018-06-05,1010587.9097805662
2018-06-06,1012264.5391672987
2018-06-07,1012537.215389478
2018-06-08,1010052.3944466461
2018-06-11,1011479.8375349989
2018-06-12,1010678.3176378228
2018-06-13,1009573.8362502554
2018-06-14,1009699.4993425893
2018-06-15,1009047.3358301794
2018-06-19,1002198.1482355421
2018-06-20,1003811.8364468758
2018-06-21,1002912.7102330243
2018-06-22,1005401.063971835
2018-06-25,1007447.0319239753
2018-06-26,1005712.3247304901
2018-06-27,1003434.2388137238
2018-06-28,1000290.42239857
2018-06-29,1007986.1711769915
2018-07-02,1006537.537568071
2018-07-03,1009705.731707152
2018-07-04,1009160.4755808766
2018-07-05,1008973.7673947206
2018-07-06,1010967.690628303
2018-07-09,1014703.6332692177
2018-07-10,1014658.4415061172
2018-07-11,1012289.8115514049
2018-07-12,1013568.1896159612
2018-07-13,1014488.0659895035
2018-07-16,1015899.3984178146
2018-07-17,1015959.0346753659
2018-07-18,1014749.9781960845
2018-07-19,1016752.4546798628
2018-07-20,1018799.8617628427
2018-07-23,1021145.2248283776
2018-07-24,1020925.315518663
2018-07-25,1020906.2731491119
2018-07-26,1021093.4670703803
2018-07-27,1019917.1829947983
2018-07-30,1020318.8965084824
2018-07-31,1019857.8458797616
2018-08-01,1020687.7103670258
2018-08-02,1019285.2021334653
2018-08-03,1021489.3187559935
2018-08-06,1023099.2545990685
2018-08-07,1025217.1626562441
2018-08-08,1021647.8405234946
2018-08-09,1021270.0346909601
2018-08-10,1021007.1150482259
2018-08-13,1021083.4862779349
2018-08-14,1020615.2264652904
2018-08-15,1018076.6264686986
2018-08-16,1013796.1197710496
2018-08-17,1008842.9524336938
2018-08-20,1010253.1138764928
2018-08-21,1011825.074572287
2018-08-22,1010803.9759681346
2018-08-23,1013731.1950338968
2018-08-24,1015846.9786030547
2018-08-27,1018918.8782069401
2018-08-28,1020908.6276630195
2018-08-29,1019734.5376401156
2018-08-30,1019602.64358837
2018-08-31,1020588.7543460203
