trade_date,nav_satellite_full
2018-01-03,998674.7804904099
2018-01-04,999946.366404441
2018-01-05,1003022.537842691
2018-01-08,1007785.0525517903
2018-01-09,1009531.0594105572
2018-01-10,1008653.8320195496
2018-01-11,1008195.1335469015
2018-01-12,1011192.3023146861
2018-01-15,1008220.8359129964
2018-01-16,1010167.0800097537
2018-01-17,1008973.2520116905
2018-01-18,1010488.2777830331
2018-01-19,1011411.285064191
2018-01-22,1016042.2717580275
2018-01-23,1021033.7072409501
2018-01-24,1025451.0527294073
2018-01-25,1024342.7766572468
2018-01-26,1024401.0760737478
2018-01-29,1018665.1438831816
2018-01-30,1013315.6990521807
2018-01-31,1010339.0301042206
2018-02-01,1003028.5650360653
2018-02-02,1005090.5742375172
2018-02-05,1003872.3640816499
2018-02-06,987086.2689305089
2018-02-07,984541.1556194801
2018-02-08,983179.2682823
2018-02-09,969253.4232974893
2018-02-12,976390.1292302505
2018-02-13,979781.5496288891
2018-02-14,982160.3898750085
2018-02-22,987638.029759573
2018-02-23,989285.0193616191
2018-02-26,996134.684446261
2018-02-27,994955.8972141863
2018-02-28,992656.6256903287
2018-03-01,996227.4378593902
2018-03-02,994105.739723984
2018-03-05,994410.4799283914
2018-03-06,999000.9267198455
2018-03-07,995815.584728591
2018-03-08,998880.8629582941
2018-03-09,1001320.1682426431
2018-03-12,1004565.1307362005
2018-03-13,1002723.6384540364
2018-03-14,1000028.3190723346
2018-03-15,999192.8272693008
2018-03-16,997625.267169369
2018-03-19,999041.9639782495
2018-03-20,999550.2730263269
2018-03-21,997653.121712207
2018-03-22,996955.9484306943
2018-03-23,986528.4045228532
2018-03-26,989801.8283988644
2018-03-27,993443.3307730879
2018-03-28,988996.6974817982
2018-03-29,988777.2352230526
2018-03-30,992855.6217918969
2018-04-02,992836.7383945404
2018-04-03,990937.2763139035
2018-04-04,990209.793960304
2018-04-09,991600.8011931274
2018-04-10,993398.9509565404
2018-04-11,995758.7857066198
2018-04-12,996372.4605916556
2018-04-13,995396.6695691097
2018-04-16,995239.3993321802
2018-04-17,991710.4030198484
2018-04-18,997858.2102426396
2018-04-19,997786.5818100136
2018-04-20,992362.7985020893
2018-04-23,989237.754822562
2018-04-24,995135.3444959566
2018-04-25,994457.389832699
2018-04-26,990425.0843141079
2018-04-27,992489.1977129935
2018-05-02,991619.0083504561
2018-05-03,994088.4796619057
2018-05-04,994244.5701716216
2018-05-07,998682.5471961322
2018-05-08,999105.5287589387
2018-05-09,999056.8456888616
2018-05-10,1000986.4495838813
2018-05-11,998315.3156884105
2018-05-14,997613.548907199
2018-05-15,999115.3817339527
2018-05-16,996438.6176265037
2018-05-17,995289.9664283256
2018-05-18,996707.1530782869
2018-05-21,999544.9048862417
2018-05-22,1000679.3856578657
