ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
000016.SH,20260313,28321475193936.0,22859582739693.0,2169257030342.0,1666951313575.0,369917279725.0,0.41,1.86,12.09,11.49,1.27
000016.SH,20260312,28410339037151.0,22954491468185.0,2169257030342.0,1666951313575.0,369917279725.0,0.33,1.5,12.14,11.53,1.27
000016.SH,20260311,28445059273241.0,22979023516517.0,2169257030342.0,1666951313575.0,369917279725.0,0.34,1.51,12.15,11.54,1.27
000016.SH,20260310,28316452595262.0,22889866152705.0,2169256952710.0,1666951313575.0,369917279725.0,0.33,1.47,12.1,11.48,1.27
000016.SH,20260309,28469102291675.0,23030608202387.0,2169256952710.0,1666951313575.0,369917279725.0,0.47,2.13,12.16,11.54,1.27
000016.SH,20260306,28531938661924.0,23071533194689.0,2169256892409.0,1666951313575.0,369917279725.0,0.3,1.37,12.19,11.56,1.27
000016.SH,20260305,28600365459393.0,23130536138512.0,2169256812227.0,1666951233393.0,369917199543.0,0.38,1.72,12.22,11.59,1.28
000016.SH,20260304,28596189539743.0,23129897701092.0,2169256812227.0,1666951233393.0,369917199543.0,0.52,2.35,12.22,11.59,1.28
000016.SH,20260303,28953658604590.0,23405120709821.0,2169255951912.0,1666951170775.0,369917136925.0,0.63,2.83,12.37,11.73,1.29
000016.SH,20260302,28674929598422.0,23182204309074.0,2169255951912.0,1666951170775.0,369917136925.0,0.5,2.26,12.25,11.62,1.28
000016.SH,20260227,28323466305165.0,22870851317253.0,2169255951912.0,1666951170775.0,369917136925.0,0.26,1.19,12.1,11.48,1.27
000016.SH,20260226,28313967273744.0,22849252194340.0,2169255951912.0,1666951170775.0,369917136925.0,0.26,1.19,12.1,11.48,1.26
000016.SH,20260225,28532312679197.0,23017204520951.0,2169255951912.0,1666951170775.0,369917136925.0,0.34,1.53,12.19,11.57,1.27
000016.SH,20260224,28495584704015.0,22975173587611.0,2169255951912.0,1666951170775.0,369917136925.0,0.26,1.19,12.17,11.55,1.27
000016.SH,20260213,28404045905038.0,22893030345488.0,2169255916726.0,1666951170775.0,369917136925.0,0.28,1.24,12.13,11.51,1.27
000016.SH,20260212,28850271745507.0,23261175453127.0,2169245978455.0,1666951116004.0,369917082154.0,0.27,1.2,12.32,11.7,1.29
000016.SH,20260211,29000483339998.0,23377232625717.0,2169245978455.0,1666948006278.0,369913972428.0,0.22,1.0,12.39,11.76,1.3
000016.SH,20260210,28970465435181.0,23341407974485.0,2169241037355.0,1666948006278.0,369913972428.0,0.23,1.03,12.38,11.74,1.29
000016.SH,20260209,28893493609820.0,23294295768846.0,2169175147355.0,1666948006278.0,369913972428.0,0.25,1.13,12.34,11.71,1.29
000016.SH,20260206,28584572422581.0,23046849701740.0,2169175090052.0,1666947948975.0,369913915125.0,0.28,1.26,12.21,11.59,1.28
000016.SH,20260205,28701143205578.0,23150555053825.0,2169174786111.0,1666947837862.0,369913804012.0,0.32,1.45,12.26,11.64,1.28
000016.SH,20260204,28757881233524.0,23188094891467.0,2169174743809.0,1666947837862.0,369913804012.0,0.37,1.65,12.28,11.66,1.28
000016.SH,20260203,28412261078214.0,22901366133855.0,2169298078809.0,1666947832862.0,369913799012.0,0.39,1.75,12.14,11.52,1.27
000016.SH,20260202,28447338995660.0,22891218054804.0,2169298078809.0,1666486871649.0,369913799012.0,0.48,2.18,12.15,11.53,1.27
000016.SH,20260130,28907804958785.0,23257947730024.0,2169298078010.0,1666486870850.0,369913798213.0,0.47,2.14,12.35,11.72,1.29
000016.SH,20260129,29148073779876.0,23459484207583.0,2169298078010.0,1666486870850.0,369617955579.0,0.6,2.72,12.45,11.82,1.3
000016.SH,20260128,28788039337811.0,23136562340458.0,2169298078010.0,1666486870850.0,369617955579.0,0.58,2.61,12.3,11.67,1.28
000016.SH,20260127,28692022553181.0,23078510078764.0,2169298078010.0,1666486870850.0,369617955579.0,0.45,2.03,12.26,11.63,1.28
000016.SH,20260126,28631162801322.0,23050378671909.0,2169298078010.0,1666486870850.0,369617955579.0,0.53,2.41,12.23,11.61,1.28
000016.SH,20260123,28320681879672.0,22793771186126.0,2169298078010.0,1666486870850.0,369617955579.0,0.41,1.87,12.1,11.49,1.26
000016.SH,20260122,28606746841325.0,23019962199094.0,2169298078010.0,1666486870850.0,369611694126.0,0.38,1.7,12.22,11.6,1.28
000016.SH,20260121,28736233929712.0,23119069590491.0,2169298078010.0,1666486870850.0,369611694126.0,0.39,1.78,12.28,11.66,1.28
000016.SH,20260120,28930720201995.0,23278268545032.0,2169298078010.0,1666486870850.0,369611694126.0,0.36,1.62,12.36,11.74,1.29
000016.SH,20260119,28867788197903.0,23228439277784.0,2169298078010.0,1666486870850.0,369611694126.0,0.34,1.51,12.33,11.71,1.29
000016.SH,20260116,28950359761701.0,23275028992649.0,2169298078010.0,1666475211854.0,369600035130.0,0.43,1.96,12.37,11.74,1.29
000016.SH,20260115,29262842086210.0,23528582330747.0,2169297987577.0,1665750483066.0,368875306342.0,0.33,1.48,12.5,11.87,1.3
000016.SH,20260114,29393095398647.0,23629407575348.0,2169351875219.0,1665804405771.0,368929229047.0,0.43,1.95,12.56,11.93,1.31
000016.SH,20260113,29687851003910.0,23863043755040.0,2169351875219.0,1665804405771.0,368929229047.0,0.38,1.71,12.68,12.06,1.32
000016.SH,20260112,29646607574528.0,23844758853110.0,2169305919533.0,1665804250085.0,368929073361.0,0.39,1.75,12.66,12.04,1.32
000016.SH,20260109,29572199770395.0,23756372394376.0,2169305919533.0,1665804250085.0,368920621910.0,0.36,1.63,12.63,12.01,1.32
000016.SH,20260108,29480352723249.0,23657544150344.0,2169305919533.0,1665804250085.0,368920621910.0,0.32,1.45,12.59,11.98,1.31
000016.SH,20260107,29669782470801.0,23779615770827.0,2169305919533.0,1665726250085.0,368842621910.0,0.31,1.41,12.67,12.05,1.32
000016.SH,20260106,29865409008161.0,23927914852396.0,2169305914190.0,1665726079565.0,368826264373.0,0.35,1.56,12.76,12.13,1.33
000016.SH,20260105,29486491037730.0,23620831671193.0,2169305703779.0,1665725869154.0,368826053962.0,0.32,1.45,12.6,11.98,1.31
000016.SH,20251231,29165216444526.0,23387097981692.0,2169305426108.0,1665725591483.0,368825598057.0,0.22,1.01,12.46,11.85,1.3
000016.SH,20251230,29116815336155.0,23344382316043.0,2169468176108.0,1665725591483.0,368825598057.0,0.23,1.04,12.44,11.83,1.3
000016.SH,20251229,29073350770594.0,23308975711642.0,2169468176108.0,1665725591483.0,368856456412.0,0.26,1.17,12.42,11.81,1.3
000016.SH,20251226,29006726291557.0,23256871214564.0,2169468508211.0,1665724316292.0,368855181221.0,0.2,0.92,12.39,11.78,1.29
000016.SH,20251225,29009164097361.0,23254528172157.0,2169468508211.0,1665724316292.0,368855181221.0,0.17,0.77,12.39,11.78,1.29
000016.SH,20251224,29004335641556.0,23247789124329.0,2169468452278.0,1665724316292.0,368855181221.0,0.19,0.86,12.39,11.78,1.29
000016.SH,20251223,29060337190880.0,23303279019891.0,2169467177087.0,1665724316292.0,368855181221.0,0.22,0.97,12.41,11.8,1.29
000016.SH,20251222,28943460275403.0,23203164630868.0,2169467177087.0,1665724316292.0,368855181221.0,0.21,0.94,12.36,11.76,1.29
000016.SH,20251219,28802688934228.0,23109830814298.0,2169467147643.0,1665724316292.0,368855181221.0,0.22,0.99,12.3,11.7,1.28
000016.SH,20251218,28858695090366.0,23155590102394.0,2169467147643.0,1665724316292.0,368829054131.0,0.2,0.88,12.33,11.72,1.29
000016.SH,20251217,28635076932569.0,22986453724863.0,2169467157843.0,1665724316292.0,368829054131.0,0.23,1.04,12.23,11.63,1.28
000016.SH,20251216,28350074583310.0,22759961125991.0,2169468518843.0,1665724316292.0,368829054131.0,0.23,1.04,12.11,11.52,1.27
000016.SH,20251215,28591944056494.0,22951126638867.0,2169461968843.0,1665717766292.0,368822504131.0,0.23,1.04,12.21,11.61,1.28
000016.SH,20251212,30703729583910.0,23071949968267.0,2190637244865.0,1697002772582.0,384794261116.0,0.34,1.49,12.3,11.73,1.28
000016.SH,20251211,30740910923067.0,23120472747458.0,2190634975432.0,1697000522582.0,384792011116.0,0.23,1.02,12.32,11.75,1.28
000016.SH,20251210,30774970763888.0,23137360657948.0,2190634975432.0,1697000522582.0,384792011116.0,0.24,1.08,12.33,11.76,1.28
000016.SH,20251209,31011460059271.0,23319955770781.0,2190634067295.0,1697000522582.0,384832611216.0,0.26,1.13,12.43,11.85,1.29
000016.SH,20251208,31105861729232.0,23394211102228.0,2190634067295.0,1697000522582.0,384848849739.0,0.26,1.17,12.46,11.89,1.3
000016.SH,20251205,31027130864808.0,23333087443010.0,2190634067295.0,1696999767782.0,384848094939.0,0.26,1.16,12.43,11.86,1.3
000016.SH,20251204,30923059003328.0,23252363043464.0,2190635539979.0,1697001240466.0,384849567623.0,0.21,0.94,12.39,11.82,1.29
000016.SH,20251203,30884416113148.0,23218416972408.0,2190627393559.0,1697001240466.0,384839484897.0,0.23,1.0,12.38,11.8,1.28
000016.SH,20251202,31093655614924.0,23362109047443.0,2190627390559.0,1697001237466.0,384839481897.0,0.2,0.87,12.46,11.88,1.3
000016.SH,20251201,31140159505781.0,23406121651676.0,2190627282996.0,1697001237466.0,384839481897.0,0.27,1.21,12.48,11.9,1.3
000016.SH,20251128,30972789126250.0,23262159998165.0,2190627265836.0,1697001237466.0,384839481897.0,0.22,0.97,12.41,11.83,1.29
000016.SH,20251127,31099135041702.0,23343183667039.0,2190627265836.0,1697001237466.0,384839481897.0,0.23,1.02,12.46,11.88,1.3
000016.SH,20251126,31004485187459.0,23249668577244.0,2190627265836.0,1697001237466.0,384829018673.0,0.24,1.04,12.42,11.85,1.3
000016.SH,20251125,31130329580353.0,23347387293212.0,2190538183423.0,1697001237466.0,384829434552.0,0.25,1.1,12.47,11.89,1.3
000016.SH,20251124,30928983922387.0,23207062179630.0,2190538183423.0,1697001237466.0,384829434552.0,0.3,1.32,12.39,11.82,1.29
000016.SH,20251121,31094717682169.0,23325883665634.0,2190627532899.0,1697090586942.0,384925624692.0,0.36,1.57,12.46,11.88,1.3
000016.SH,20251120,31484329883254.0,23638806724939.0,2190627532899.0,1697090586942.0,384925624692.0,0.32,1.4,12.62,12.03,1.32
000016.SH,20251119,31468715730558.0,23678957436520.0,2190627532899.0,1697090586942.0,384925624692.0,0.28,1.25,12.61,12.02,1.32
000016.SH,20251118,31149067146188.0,23436142289897.0,2190627532899.0,1697090586942.0,384925624692.0,0.26,1.13,12.48,11.9,1.3
000016.SH,20251117,31226996835674.0,23524807262562.0,2190624511212.0,1697087565255.0,384922603005.0,0.28,1.25,12.51,11.93,1.31
000016.SH,20251114,31500771013435.0,23718823594387.0,2190624511212.0,1697087565255.0,384916341552.0,0.29,1.27,12.62,12.04,1.32
000016.SH,20251113,31745820950801.0,23923653795153.0,2190624511212.0,1697087565255.0,384916341552.0,0.32,1.41,12.72,12.13,1.33
000016.SH,20251112,31616412980660.0,23809024642971.0,2190624511212.0,1697087565255.0,384875641252.0,0.34,1.49,12.67,12.08,1.32
000016.SH,20251111,31352205912904.0,23621816971703.0,2190624511212.0,1697087565255.0,384875641252.0,0.24,1.07,12.56,11.98,1.31
000016.SH,20251110,31438024508281.0,23688621050424.0,2190624511212.0,1697087565255.0,384875692462.0,0.29,1.28,12.6,12.01,1.31
000016.SH,20251107,31265710742139.0,23541021421841.0,2190624511212.0,1697087565255.0,384875692462.0,0.28,1.24,12.53,11.95,1.31
000016.SH,20251106,31338797850505.0,23596969515876.0,2190618711668.0,1697087565255.0,384875692462.0,0.3,1.32,12.56,11.98,1.31
000016.SH,20251105,31076172219349.0,23396024434714.0,2190510070991.0,1697087565255.0,384875692462.0,0.28,1.22,12.45,11.88,1.3
000016.SH,20251104,31139253930878.0,23432764030592.0,2190510070991.0,1697087565255.0,384334490085.0,0.33,1.46,12.48,11.9,1.3
000016.SH,20251103,30982035847651.0,23340893885696.0,2190510101591.0,1697087565255.0,384328372212.0,0.32,1.43,12.41,11.84,1.29
000016.SH,20251031,30806529162468.0,23194685032959.0,2190510101591.0,1697087565255.0,384171848630.0,0.41,1.8,12.34,11.77,1.29
