Strategy,IV Scenario,Strike,Total Return,CAGR,Volatility,Sharpe,Max Drawdown
Fast Momentum Only (Base),N/A,N/A,63.08%,5.53%,11.50%,0.54,-24.03%
Option-Protected (3% OTM),20%,0.97,107.80%,8.38%,14.09%,0.66,-17.67%
Option-Protected (5% OTM),20%,0.95,105.66%,8.26%,13.62%,0.67,-17.23%
Option-Protected (3% OTM),25%,0.97,91.76%,7.43%,14.15%,0.59,-19.32%
Option-Protected (5% OTM),25%,0.95,93.03%,7.51%,13.65%,0.62,-18.54%
Option-Protected (3% OTM),35%,0.97,61.62%,5.43%,14.33%,0.45,-22.72%
Option-Protected (5% OTM),35%,0.95,66.37%,5.76%,13.78%,0.49,-21.53%
Option-Protected (3% OTM),45%,0.97,35.27%,3.38%,14.58%,0.31,-26.10%
Option-Protected (5% OTM),45%,0.95,41.26%,3.88%,13.97%,0.35,-24.69%
Option-Protected (3% OTM),Real QVIX,0.97,92.32%,7.46%,14.31%,0.59,-16.26%
Option-Protected (5% OTM),Real QVIX,0.95,91.87%,7.44%,13.77%,0.61,-16.34%
HS300 Buy & Hold,N/A,N/A,-7.92%,-0.90%,22.21%,0.05,-46.70%
