trade_date,Strategy_Pure,Strategy_Hedged,Benchmark_EqualWeight,Benchmark_CSI1000
2024-09-02,1000000.0,1000000.0,987056.8376018511,1000000.0
2024-09-03,1000933.2451012048,1000933.2451012048,995857.6409494414,1008799.088364848
2024-09-04,991960.017322013,991960.017322013,989254.3145698609,1004027.5652700543
2024-09-05,1001327.8111400338,1001327.8111400338,998103.8898997376,1011972.6024072728
2024-09-06,989692.8300691985,989692.8300691985,983923.390633089,994641.6062605418
2024-09-09,984005.7802420389,984005.7802420389,981545.0841205476,987427.9511485345
2024-09-10,983842.3276424566,983842.3276424566,984003.9003659093,990085.1955261041
2024-09-11,971610.5352040215,971610.5352040215,978081.3235944213,989739.0300969768
2024-09-12,971182.15342982,971182.15342982,977125.0887798493,985930.3278643312
2024-09-13,963412.4349264044,963412.4349264044,967569.0756821041,973672.8946291406
2024-09-18,962986.4710544605,962986.4710544605,963690.6171288627,970572.1878471443
2024-09-19,984582.4602172294,984582.4602172294,986522.8624510764,988915.6461699519
2024-09-20,988569.4220746356,988569.4220746356,984882.2959868901,984741.5838667935
2024-09-23,992782.0964203813,992782.0964203813,987752.4275845586,986016.152180412
2024-09-24,1032847.6464141714,1032847.6464141714,1021728.9537073084,1024278.5738160822
2024-09-25,1050357.0209794296,1050357.0209794296,1034329.5201623854,1033920.0201212793
2024-09-26,1079406.070400954,1079406.070400954,1070512.8085487501,1075370.2966233979
2024-09-27,1114718.43511147,1114718.43511147,1113786.3029200977,1133243.0229133274
2024-09-30,1202506.2703541322,1202506.2703541322,1207335.728995443,1259527.2161261463
2024-10-08,1250708.3356094882,1250708.3356094882,1262518.7335860527,1368331.930506573
2024-10-09,1168079.0283776587,1168079.0283776587,1166827.128132109,1263620.74918671
2024-10-10,1178315.6625883195,1178315.6625883195,1171357.120958935,1247547.9948770164
2024-10-11,1161574.8478804363,1161574.8478804363,1136268.8371955543,1195088.8193420211
2024-10-14,1183984.1896891885,1183984.1896891885,1164984.7770897448,1238993.3624047579
2024-10-15,1161795.9352383437,1161795.9352383437,1146449.5723242508,1215037.5674432407
2024-10-16,1167662.8583718278,1167662.8583718278,1154310.6488672625,1218805.674112496
2024-10-17,1151904.8299342042,1151904.8299342042,1143801.419714733,1214693.1670386086
2024-10-18,1173661.2717506043,1173661.2717506043,1170914.1883248838,1268486.4804639365
2024-10-21,1170737.59656804,1170737.59656804,1182856.592453714,1293006.4213797415
2024-10-22,1186198.5973711084,1186198.5973711084,1201992.2260712038,1299237.8403601528
2024-10-23,1193467.6082674728,1193467.6082674728,1209694.8604076726,1302494.972438039
2024-10-24,1196285.827528902,1196285.827528902,1210223.573682308,1293240.507753421
2024-10-25,1201249.8306512681,1201249.8306512681,1235646.3363754298,1318232.5927217002
2024-10-28,1215399.1300351107,1215399.1300351107,1270179.624284939,1341879.28776849
2024-10-29,1206423.896525092,1206423.896525092,1249752.8286989378,1320202.139430316
2024-10-30,1201381.2167836588,1201381.2167836588,1256443.054312205,1328036.8625365824
2024-10-31,1194682.3803520468,1194682.3803520468,1274781.6385216857,1349507.5030088145
2024-11-01,1193139.3776741878,1193139.3776741878,1247334.6378134976,1308375.5928000233
2024-11-04,1209188.6385402456,1209188.6385402456,1268035.0062383218,1335486.3690467651
2024-11-05,1233020.7126379309,1233020.7126379309,1299183.2917195205,1382575.0162988976
2024-11-06,1235854.076775692,1235854.076775692,1308573.9398129252,1388454.9747766964
2024-11-07,1265691.2205939172,1265691.2205939172,1341635.3027958588,1412884.016930997
2024-11-08,1265829.5417036489,1265829.5417036489,1339659.760206723,1417120.9582317981
2024-11-11,1276741.7551470706,1276741.7551470706,1358068.3049612811,1451513.1224055516
2024-11-12,1271249.936280268,1271249.936280268,1349356.86263533,1432311.2002938762
2024-11-13,1273363.3630464063,1273363.3630464063,1348929.837448785,1428433.000221731
2024-11-14,1251968.1648597755,1251968.1648597755,1315741.5632194628,1383821.3442205924
2024-11-15,1240124.3979533492,1240124.3979533492,1292936.1441716726,1351460.061356664
2024-11-18,1242357.2311209058,1242357.2311209058,1274996.1416144124,1318155.1522719723
2024-11-19,1237912.9315604416,1237912.9315604416,1298952.0807161413,1352512.8984680688
2024-11-20,1252948.890779997,1252948.890779997,1324589.279522008,1379102.5512325934
2024-11-21,1244116.0484259597,1244116.0484259597,1330833.5823709117,1381609.1066438828
2024-11-22,1210287.8919364575,1210287.8919364575,1289698.7545183757,1330494.8797742531
2024-11-25,1204506.6682511617,1204506.6682511617,1305676.3796253402,1335269.4916619135
2024-11-26,1195001.9023338773,1195001.9023338773,1298542.7580946903,1319702.1962420417
2024-11-27,1219043.8967454275,1219043.8967454275,1314457.1627581997,1349948.9797606843
2024-11-28,1217531.866191676,1217531.866191676,1319767.8372520532,1342761.1381319198
2024-11-29,1233728.8227226653,1233728.8227226653,1336631.2747208506,1365495.315514675
2024-12-02,1257844.6503432333,1257844.6503432333,1365217.1538311944,1392959.096660463
2024-12-03,1267676.3773422912,1267676.3773422912,1369824.9591132514,1390679.5675248725
2024-12-04,1256886.7235890043,1256886.7235890043,1352761.1921853928,1368984.989569808
2024-12-05,1270452.695046947,1270452.695046947,1367685.1652154652,1386779.9665307226
2024-12-06,1286580.446106573,1286580.446106573,1384595.7468762882,1400904.5750538055
2024-12-09,1283792.699355047,1283792.699355047,1383934.060149903,1390678.685012625
2024-12-10,1293611.047573805,1293611.047573805,1390999.0732491834,1403640.1423933508
2024-12-11,1303553.9114237016,1303553.9114237016,1413457.8927728878,1422471.6299890897
2024-12-12,1317319.3389814012,1317319.3389814012,1432308.597147139,1431908.3334528396
2024-12-13,1297445.5126574677,1297445.5126574677,1408182.9350318306,1402088.6858620432
2024-12-16,1302826.1154897555,1302826.1154897555,1403746.2668548555,1384996.18865023
2024-12-17,1276406.5790084596,1276406.5790084596,1358517.9406506578,1355526.4571656128
2024-12-18,1286535.631613308,1286535.631613308,1363549.0430738444,1366982.348651907
2024-12-19,1277234.3491564046,1277234.3491564046,1360017.5484088557,1369479.4170565342
2024-12-20,1278797.9748463763,1278797.9748463763,1368023.0149526007,1383724.7091294783
2024-12-23,1256168.1831408725,1256168.1831408725,1318352.8242603713,1345032.7246572815
2024-12-24,1264181.652011052,1264181.652011052,1330071.8415322516,1360031.0203055032
2024-12-25,1263311.584656396,1263311.584656396,1307034.2355642007,1344658.9807204164
2024-12-26,1272447.8198502804,1272447.8198502804,1319036.1344943156,1359168.5852115212
2024-12-27,1270679.5002666807,1270679.5002666807,1332699.8627023082,1361620.424863458
2024-12-30,1268833.2528231589,1268833.2528231589,1320705.933107097,1355964.18324043
2024-12-31,1254019.509869573,1254019.509869573,1293907.9632097587,1314439.55508145
2025-01-02,1229997.9996281858,1229997.9996281858,1273331.5957399763,1279000.510753963
2025-01-03,1155112.7316372895,1155112.7316372895,1231117.5489859805,1241078.959473934
2025-01-06,1134418.8452432677,1134418.8452432677,1226529.8308721639,1237289.672510736
2025-01-07,1172098.658578849,1172098.658578849,1247470.7849231218,1255823.9741070904
2025-01-08,1189913.4759599825,1189913.4759599825,1246807.5639505177,1249147.327697757
