trade_date,Strategy_Pure,Strategy_Hedged,Benchmark_EqualWeight,Benchmark_CSI1000
2024-09-02,1000000.0,1000000.0,987056.8376018511,1000000.0
2024-09-03,996530.7312709237,996530.7312709237,995857.6409494414,1008799.088364848
2024-09-04,986080.8707202139,986080.8707202139,989254.3145698609,1004027.5652700543
2024-09-05,989521.6052725591,989521.6052725591,998103.8898997376,1011972.6024072728
2024-09-06,978472.0699872765,978472.0699872765,983923.390633089,994641.6062605418
2024-09-09,969552.2600207175,969552.2600207175,981545.0841205476,987427.9511485345
2024-09-10,973498.3874114613,973498.3874114613,984003.9003659093,990085.1955261041
2024-09-11,965053.3945201011,965053.3945201011,978081.3235944213,989739.0300969768
2024-09-12,965877.2723658929,965877.2723658929,977125.0887798493,985930.3278643312
2024-09-13,958036.1799988109,958036.1799988109,967569.0756821041,973672.8946291406
2024-09-18,964131.9703606343,964131.9703606343,963690.6171288627,970572.1878471443
2024-09-19,976377.0250120945,976377.0250120945,986522.8624510764,988915.6461699519
2024-09-20,977250.6852429943,977250.6852429943,984882.2959868901,984741.5838667935
2024-09-23,985187.6489588299,985187.6489588299,987752.4275845586,986016.152180412
2024-09-24,1024136.5183862376,1024136.5183862376,1021728.9537073084,1024278.5738160822
2024-09-25,1039646.749310967,1039646.749310967,1034329.5201623854,1033920.0201212793
2024-09-26,1076590.0881627977,1076590.0881627977,1070512.8085487501,1075370.2966233979
2024-09-27,1110121.667901541,1110121.667901541,1113786.3029200977,1133243.0229133274
2024-09-30,1195421.1992166855,1195421.1992166855,1207335.728995443,1259527.2161261463
2024-10-08,1252873.6766653047,1252873.6766653047,1262518.7335860527,1368331.930506573
2024-10-09,1169364.64900954,1169364.64900954,1166827.128132109,1263620.74918671
2024-10-10,1176908.610199157,1176908.610199157,1171357.120958935,1247547.9948770164
2024-10-11,1158076.5339509377,1158076.5339509377,1136268.8371955543,1195088.8193420211
2024-10-14,1184666.3745621867,1184666.3745621867,1164984.7770897448,1238993.3624047579
