factor,category,ic_mean,ic_std,ic_ir,ic_pos_ratio,valid_days
ths_hot,Concept,-0.07337698461578669,0.06118244630376068,-19.038524770846013,0.12215909090909091,352
ths_hot_rank,Concept,0.10900721897102433,0.1406412428019176,12.303901192666093,0.7897727272727273,352
vol_ratio,Volume,-0.06528302398233432,0.10078380981788898,-10.282761483434067,0.2471590909090909,352
alpha_012,Alpha101,0.043515907105393034,0.07659744092225805,9.018494630371094,0.7159090909090909,352
alpha_006,Alpha101,0.046012788448593106,0.08545538433600006,8.547505553420189,0.7073863636363636,352
buy_elg_amount,MoneyFlow,-0.07380397533193583,0.16213920318368866,-7.225900732040552,0.3409090909090909,352
mom_20d,Momentum,-0.07256115924111672,0.16288389965941658,-7.071740642112721,0.3153409090909091,352
sell_lg_amount,MoneyFlow,-0.07961368522293841,0.18183566201568727,-6.9503861802125755,0.33238636363636365,352
macd,Technical,-0.0673348424093665,0.1571456918171301,-6.802015843700878,0.39204545454545453,352
buy_lg_amount,MoneyFlow,-0.07755759032936822,0.1821579262219566,-6.758907522264138,0.3494318181818182,352
sell_elg_amount,MoneyFlow,-0.06952320906707159,0.16426737946882733,-6.718599473617161,0.3409090909090909,352
mom_60d,Momentum,-0.06837672190045542,0.1848939229954698,-5.870646217578326,0.33238636363636365,352
turnover_rate,Liquidity,-0.07659754990503272,0.2140691208569809,-5.680167245260127,0.3409090909090909,352
news_stock_impact,News,-0.00705504372226909,0.02146965425017819,-5.2164485632524435,0.38764044943820225,178
news_market_impact,News,-0.007015693698059946,0.02152832489903137,-5.173216463442962,0.38764044943820225,178
news_has_mention,News,-0.007015693698059946,0.02152832489903137,-5.173216463442962,0.38764044943820225,178
volatility_20,Technical,-0.07051245394040008,0.22720102120432345,-4.92669662672216,0.3522727272727273,352
alpha_023,Alpha101,0.028104117487416484,0.09060530759811491,4.923983439367021,0.6590909090909091,352
rsi_14,Technical,-0.04424810513781931,0.14433062634857374,-4.866721020018611,0.3778409090909091,352
bb_position,Technical,-0.043551734031197185,0.14255960405293558,-4.849637097871985,0.375,352
atr_14,Technical,-0.07006362258715489,0.23651602959528564,-4.702537624238757,0.3494318181818182,352
kdj_k,Technical,-0.03201110667908444,0.14304905525440492,-3.5523517711120918,0.42329545454545453,352
mom_10d,Momentum,-0.036325665325994176,0.17090011164648455,-3.374205285260957,0.38636363636363635,352
net_mf_amount_norm,MoneyFlow,0.024386845916361078,0.12028920504689544,3.218320190782958,0.5994318181818182,352
mom_5d,Momentum,-0.03040681514041081,0.16032963828299485,-3.01063004512148,0.4289772727272727,352
volume_ratio,Volume,-0.01625426447926712,0.0901604994847553,-2.8618791024122268,0.4224137931034483,348
net_mf_vol,MoneyFlow,0.019793253438037336,0.11043511474889775,2.8451834194038548,0.59375,352
alpha_009,Alpha101,0.005817808551942058,0.12757848591357043,0.7239061269743224,0.5227272727272727,352
