factor,category,ic_mean,ic_std,ic_ir,ic_pos_ratio,valid_days
ths_hot,Concept,-0.08500161242271784,0.05914638295194023,-22.813884767163014,0.07894736842105263,342
ths_hot_rank,Concept,0.1404451787365266,0.12959869431903395,17.203090712942107,0.8538011695906432,342
buy_elg_amount,MoneyFlow,-0.09730406458280143,0.1450763630013924,-10.647179917491712,0.22816519972918078,1477
vol_ratio,Volume,-0.06534781521890203,0.09847867194851748,-10.533899231358559,0.24576844955991875,1477
sell_lg_amount,MoneyFlow,-0.10838603158848631,0.16353650464546057,-10.52104491769639,0.22139471902505078,1477
buy_lg_amount,MoneyFlow,-0.10702686964025442,0.16344750322784699,-10.394768047638124,0.22545700744752878,1477
sell_elg_amount,MoneyFlow,-0.09464578379629017,0.14812379947500123,-10.143239943343415,0.23425863236289776,1477
alpha_012,Alpha101,0.033943305964738754,0.06274394330064272,8.58781340800627,0.7344173441734417,1476
volatility_20,Technical,-0.09095497285904669,0.17075691639838708,-8.455677594747433,0.29993136582017843,1457
turnover_rate,Liquidity,-0.08582800477062642,0.1648107296988892,-8.266921330770854,0.2728503723764387,1477
macd,Technical,-0.06960644415006888,0.1371377440897962,-8.057359062928828,0.2907458563535912,1448
alpha_006,Alpha101,0.036633821301470144,0.07332941286017808,7.930567854605499,0.6805177111716622,1468
mom_20d,Momentum,-0.06698455543285706,0.13475167556369566,-7.8911586642403515,0.31069958847736623,1458
atr_14,Technical,-0.08653169289293416,0.1747772974834337,-7.859419153971734,0.30246913580246915,1458
mom_60d,Momentum,-0.06435011199450306,0.1509590447786582,-6.766910591925502,0.3307475317348378,1418
news_market_impact,News,-0.008437713996205421,0.02060809883868533,-6.499607666654421,0.3620178041543027,337
news_has_mention,News,-0.008437713996205421,0.02060809883868533,-6.499607666654421,0.3620178041543027,337
news_stock_impact,News,-0.008446139447811467,0.020660060532247348,-6.489734475637792,0.3620178041543027,337
bb_position,Technical,-0.04531150797348735,0.1194057498699372,-6.023980340532199,0.35871056241426613,1458
mom_10d,Momentum,-0.04501821935104125,0.12430112606391218,-5.749280797757336,0.3760217983651226,1468
rsi_14,Technical,-0.04347083190107265,0.12256704977836697,-5.630208642696619,0.36213991769547327,1458
alpha_023,Alpha101,0.02570118274074721,0.0768835875809501,5.30664138381787,0.6330589849108368,1458
net_mf_amount_norm,MoneyFlow,0.028409578012197505,0.09619692177793114,4.688175684836129,0.6303317535545023,1477
mom_5d,Momentum,-0.02892321984435324,0.12457706731825605,-3.6856051504846854,0.42090970807875083,1473
net_mf_vol,MoneyFlow,0.019843472257984825,0.09234088399599544,3.4113313932481306,0.5978334461746784,1477
kdj_k,Technical,-0.024748701205422604,0.11706510167264518,-3.356025376947667,0.4355281207133059,1458
volume_ratio,Volume,-0.00999063679500178,0.07283056093842472,-2.177608415326685,0.44073569482288827,1468
alpha_009,Alpha101,0.0069024110086873145,0.10617447096193344,1.032003049902001,0.5304878048780488,1476
