trade_date,Strategy_Pure,Strategy_Hedged,Benchmark_EqualWeight,Benchmark_CSI1000
2022-01-04,1000000.0,1000000.0,1012861.39747006,1000000.0
2022-01-05,987345.5835798959,987345.5835798959,1000828.9914888899,974772.8567513141
2022-01-06,994622.6656835984,994622.6656835984,1009825.2344941255,982644.3918553618
2022-01-07,982368.2986438175,982368.2986438175,996674.7009201066,962373.9895488801
2022-01-10,992928.562015992,992928.562015992,1003895.5437134068,968823.8907648037
2022-01-11,992740.8490210106,992740.8490210106,1001119.8837280107,957863.9440375555
2022-01-12,999145.65397308,999145.65397308,1013083.0660975159,974503.0356750061
2022-01-13,995639.2051954456,995639.2051954456,1005133.7611536733,957625.1887119086
2022-01-14,983661.6559607603,983661.6559607603,996496.3317638484,961456.2972531362
2022-01-17,984652.3036438748,984652.3036438748,1007304.5787474366,978080.8581362454
2022-01-18,978155.0511500547,978155.0511500547,997167.7092929048,971882.6145537029
2022-01-19,978744.7951010711,978744.7951010711,997866.6437316347,960180.3467037986
2022-01-20,960016.5643907463,960016.5643907463,977757.3931295397,938562.7179926314
2022-01-21,961173.6327200313,961173.6327200313,968852.8688676858,925551.9306612446
2022-01-24,961076.7410086767,961076.7410086767,965853.6984455577,930143.899563426
2022-01-25,928750.4533103865,928750.4533103865,928556.4426384439,893524.3943807067
2022-01-26,936097.2314976444,936097.2314976444,935519.1657453066,898279.8342692308
2022-01-27,908087.1273003435,908087.1273003435,908469.8838426643,871859.0396574348
2022-01-28,923253.0399454297,923253.0399454297,918042.3548664597,873474.9597523158
2022-02-07,931248.2406598352,931248.2406598352,933043.422300364,884574.7023575397
2022-02-08,955406.0262964516,955406.0262964516,948871.7008021948,886954.4891763417
2022-02-09,957545.9292187161,957545.9292187161,961309.413091037,903340.6705291749
2022-02-10,954919.5296421389,954919.5296421389,962066.2627436658,898854.5506564643
2022-02-11,938613.5380963022,938613.5380963022,946174.4103413961,881096.2151393424
2022-02-14,940804.2785387661,940804.2785387661,946085.4156047943,877616.8510652796
2022-02-15,941723.7427157883,941723.7427157883,948431.8414849956,892495.0908598047
2022-02-16,953179.739363273,953179.739363273,959650.9982926169,899792.6611673606
2022-02-17,953840.0393794326,953840.0393794326,956288.4368800833,904490.2285687657
2022-02-18,966984.1259395431,966984.1259395431,964488.1364147526,908396.6214492974
2022-02-21,972011.6146177124,972011.6146177124,976262.3968434591,918768.4484210832
2022-02-22,970974.2597103803,970974.2597103803,966482.9474661148,911834.3975023136
2022-02-23,983959.1088289641,983959.1088289641,977894.9908103459,933275.277124033
2022-02-24,969339.4941230285,969339.4941230285,955847.1695863997,912571.0816944062
2022-02-25,980586.0692669165,980586.0692669165,964318.2056975239,922196.453794456
2022-02-28,985133.0336755705,985133.0336755705,964464.1648540496,929446.0475596599
2022-03-01,993940.7694224393,993940.7694224393,972858.2173403671,930650.0959280317
2022-03-02,998361.481405472,998361.481405472,978272.8619864006,928754.3335469521
2022-03-03,999125.7577199627,999125.7577199627,979791.3384719212,919773.4505080001
2022-03-04,989943.5252728919,989943.5252728919,968213.7456000417,907115.2844996435
2022-03-07,976774.8903320412,976774.8903320412,954584.2867442915,887595.0950186069
2022-03-08,953085.2652687458,953085.2652687458,924513.6390104764,860724.2228175935
2022-03-09,938336.0555004313,950226.0094729398,911365.3676843967,851306.6655576528
2022-03-10,956145.5108192919,950226.0094729398,927005.1605706958,870908.2773690517
2022-03-11,961530.3593712767,950226.0094729398,933256.784232329,875700.6704690477
2022-03-14,952643.2675159622,950226.0094729398,909800.5324172338,851877.3734609301
2022-03-15,915064.4826495171,950226.0094729398,861754.2784962856,810901.3978084616
2022-03-16,938346.2596659277,950226.0094729398,887943.3381898052,838395.2134693078
2022-03-17,951239.2780033847,950226.0094729398,903086.2708099209,854125.8824301634
2022-03-18,965888.7337914569,950226.0094729398,917595.6064185482,861744.6325147173
2022-03-21,984073.1138295459,950226.0094729398,928950.5559587601,871144.5273922255
2022-03-22,990738.5664646317,950226.0094729398,930512.8483588882,867265.9433691406
2022-03-23,981662.0965882724,950226.0094729398,933178.7344104843,872716.2288984635
2022-03-24,969644.1148873406,950226.0094729398,923804.7804446473,864430.4420305575
2022-03-25,963614.3960982829,950226.0094729398,922018.7327507619,854284.7186069314
2022-03-28,952115.5210559035,950226.0094729398,920554.9463688135,847700.5331784722
2022-03-29,937962.3733529747,950226.0094729398,913909.6915274251,842492.7609285051
2022-03-30,939149.6269999116,950226.0094729398,927588.6743334227,859913.6322025567
2022-03-31,940728.9453976026,950226.0094729398,926591.5764550244,848303.5594836471
2022-04-01,937191.7910642922,950226.0094729398,927741.8614846925,848371.0773852861
2022-04-06,951435.6883454889,950226.0094729398,938961.9867713469,847329.3726171443
2022-04-07,942620.8747749416,950226.0094729398,918935.970256957,829704.3191915691
2022-04-08,939023.8762230462,950322.9792774706,916724.5195299117,823653.6379246677
2022-04-11,928368.9259887523,939123.9888285265,893254.7762512465,792685.844590075
2022-04-12,946684.2045059244,956828.412149631,909061.3810397126,803502.9890763803
2022-04-13,923026.5948181808,933126.600662165,894068.434337294,787448.0087104358
2022-04-14,925300.5333668012,935179.1426462294,902626.2465714356,796649.6088972312
2022-04-15,915103.9979030567,923308.7943768452,888387.5388009865,786047.7951584532
2022-04-18,927978.7006006455,937184.9650698438,891136.5956652069,792430.3037378613
2022-04-19,937160.7552772987,946306.6119034839,896688.4575899397,794905.6678459962
2022-04-20,935135.5132627818,942778.8635451334,887209.3627383214,780934.2222814589
2022-04-21,907358.9444521515,913978.216527645,853975.828463878,749258.8062634567
2022-04-22,900648.5748463742,918703.6374590565,847914.6728896897,738038.0575488021
2022-04-25,849881.3901606548,867315.5162144154,788009.8469035605,680391.0476523563
2022-04-26,824541.8211552692,842470.8624899329,760517.761455927,659715.2874057945
2022-04-27,821887.8528114595,839910.0666228234,780264.5838864816,694058.6000269571
2022-04-28,807435.3617924873,826049.6824437955,770869.0050185397,688195.0648547652
2022-04-29,831089.5646472274,848819.2625639219,802127.7274309652,718331.9746242926
2022-05-05,840805.672584695,858202.9021107361,816070.438891427,731163.5075637588
2022-05-06,830476.0639395003,847297.3821440648,805088.8629828877,722114.8560929208
2022-05-09,846661.4380602107,863484.8060099358,818640.3822465201,731659.8079835975
2022-05-10,852394.7658656623,869264.900789916,830409.4901192179,745411.037460786
2022-05-11,845187.0715586207,861901.3679101415,832057.4344817105,751970.0445993949
2022-05-12,849695.7918155488,866507.57184212,837974.9125734324,755921.5329244349
2022-05-13,856503.1100736243,873462.0720860412,845182.2654023636,760568.1174205209
2022-05-16,857045.1422031098,874015.8235684627,848629.1819492478,761972.965782078
2022-05-17,856395.5082332636,873352.1437711511,847097.629416124,766429.2725553636
2022-05-18,867112.6952508307,884301.0485971301,853017.0123088149,767600.1256659722
2022-05-19,873243.2081973981,890564.110226677,858829.4646341939,774161.7633721774
2022-05-20,880897.4134670793,898383.8081454388,870163.5589402327,784590.9617705876
2022-05-23,894036.6671247757,911807.1474551582,881025.4665961706,794615.1780242885
2022-05-24,864620.2439783766,881754.7076850275,847684.8398559487,761817.6370287715
2022-05-25,879085.8920364693,896533.1195550968,864812.9488284456,775174.2813665124
2022-05-26,879811.1452486521,897274.0535690229,870552.2056313833,780038.3261172273
2022-05-27,877364.8690934777,894774.886132908,872192.2643716028,777908.1926898282
2022-05-30,881264.9689894624,898759.3106374864,880629.5406864983,786959.9757887571
2022-05-31,888645.5709663992,906299.4896482155,888562.7202336616,795852.7974457943
2022-06-01,898464.5857692471,916330.8027516481,892102.7896110693,798354.4672298924
2022-06-02,891782.8412399589,909779.6102812144,895573.4900822109,807074.924076809
2022-06-06,895026.684541979,913090.129817217,906375.4162195093,827373.1352407373
2022-06-07,892846.9153522806,910859.772172717,904368.8782738002,826478.6169928657
2022-06-08,892544.1892771312,910550.5008145031,904788.8096192441,827863.6734648887
2022-06-09,883206.2899267942,901011.1577046996,891076.6026425147,813017.6268071376
2022-06-10,882376.2292898463,900434.3692471385,905236.5500671874,830225.6726361345
2022-06-13,879349.2073021184,897346.283372601,906578.76534309,836120.1482938642
2022-06-14,883437.5760356276,901518.6121144718,910991.5499973862,834923.7410980341
2022-06-15,881219.2364161353,899252.4169060554,910258.5750137479,833484.3195623538
2022-06-16,882092.3420748049,900148.5949858809,914213.6761858122,838870.8451437468
2022-06-17,884645.7920892651,902757.1298273695,917371.0319838449,848638.3931591214
2022-06-20,893054.0877471549,911346.8151773612,926565.6013249757,857910.1418151519
2022-06-21,895247.6087124334,913587.6563260272,922219.7174791165,849190.4365589774
2022-06-22,885762.6946822229,903898.1270318505,912381.5350893184,838250.6575166341
2022-06-23,891106.2415225569,909361.1858076589,928088.0620110546,857496.766907159
2022-06-24,891522.8463900973,909791.015138896,936866.1208283072,868294.495299301
2022-06-27,895023.917912019,913371.8514175174,944970.9839100788,877223.3933119448
2022-06-28,908059.6273611635,926684.5392277989,958190.9925862201,886842.6274209365
2022-06-29,895534.0319521786,913892.9699980081,940228.9858149921,864453.7413435535
2022-06-30,893302.1373555218,911617.1645641627,947962.7124575758,876295.9303365573
2022-07-01,897995.156626754,916411.4249614528,947532.4562195992,876167.0325243378
2022-07-04,904672.6652894788,923215.7912467854,953624.6069506657,886416.3502052093
2022-07-05,902448.7388369518,920962.3111573387,948682.1871841613,881365.6604202796
2022-07-06,894267.9665553442,912622.2517886915,937497.0422819464,871091.1644495574
2022-07-07,898958.2036841793,917411.712832971,944890.4202233991,882100.3403703939
2022-07-08,903475.9022406144,922024.9851796547,945866.2583756945,876954.1985612549
2022-07-11,903954.8860197975,922514.1020597239,939591.4967405285,863532.0405638535
2022-07-12,903302.1376294575,921847.5445059428,929295.4661972264,849241.7952596671
2022-07-13,917609.698701244,936457.787977575,940859.3421733722,856174.8440574476
2022-07-14,915934.2658336218,934746.9106314282,941922.3990308265,866944.1372665245
2022-07-15,898755.6295215867,917204.853129791,923055.3125512658,858418.8434822301
2022-07-18,919554.0101809341,938443.2321745587,946816.5901821677,871085.151723623
2022-07-19,927431.3312839795,946487.2012788854,956267.6148040923,878023.837451967
2022-07-20,928528.6385400712,947607.7225259555,965561.5356171298,890648.0566118187
2022-07-21,929387.110541894,948484.3558597073,961355.3386665281,886287.5776581133
2022-07-22,938561.7908640106,957853.1303564901,960546.148134292,881189.788186697
2022-07-25,934049.9990447297,953245.8897064399,953441.7608278223,870455.9450076085
2022-07-26,944683.7055754656,964104.5567175704,965060.0283480271,880290.5098641273
2022-07-27,950755.5152692237,970304.8180684835,971127.8700587173,889311.477742642
