trade_date,underlying_code,underlying_close,expiry_date,days_to_expiry,max_pain_price,total_oi_call,total_oi_put
20220104,510050.SH,3.247,20220126,22,3.299999999999987,1474376.0,788630.0
20220105,510050.SH,3.241,20220126,21,3.299999999999987,1509831.0,792182.0
20220106,510050.SH,3.193,20220126,20,3.259999999999988,1685013.0,823314.0
20220107,510050.SH,3.207,20220126,19,3.259999999999988,1675367.0,827309.0
20220110,510050.SH,3.216,20220126,16,3.259999999999988,1677632.0,838558.0
20220111,510050.SH,3.196,20220126,15,3.259999999999988,1707224.0,855230.0
20220112,510050.SH,3.22,20220126,14,3.259999999999988,1649288.0,862892.0
20220113,510050.SH,3.166,20220126,13,3.199999999999989,1718368.0,820789.0
20220114,510050.SH,3.12,20220126,12,3.199999999999989,1763543.0,791199.0
20220117,510050.SH,3.131,20220126,9,3.199999999999988,1704561.0,750752.0
20220118,510050.SH,3.169,20220126,8,3.199999999999988,1536517.0,761507.0
20220119,510050.SH,3.169,20220126,7,3.199999999999988,1483448.0,729484.0
20220120,510050.SH,3.214,20220126,6,3.199999999999988,1277510.0,703648.0
20220121,510050.SH,3.206,20220126,5,3.199999999999988,1290899.0,621841.0
20220124,510050.SH,3.195,20220126,2,3.199999999999988,1175745.0,543385.0
20220125,510050.SH,3.129,20220126,1,3.199999999999988,1097334.0,404611.0
20220126,510050.SH,3.144,20220126,0,3.154999999999989,977802.0,263137.0
20220127,510050.SH,3.107,20220223,27,3.199999999999988,856072.0,559872.0
20220128,510050.SH,3.036,20220223,26,3.199999999999988,1021611.0,607461.0
20220207,510050.SH,3.095,20220223,16,3.099999999999989,1020633.0,605348.0
20220208,510050.SH,3.098,20220223,15,3.099999999999989,1073411.0,666932.0
20220209,510050.SH,3.12,20220223,14,3.099999999999989,1040521.0,675287.0
20220210,510050.SH,3.128,20220223,13,3.099999999999989,1027357.0,691019.0
20220211,510050.SH,3.123,20220223,12,3.099999999999989,1001129.0,703972.0
20220214,510050.SH,3.088,20220223,9,3.099999999999989,1093345.0,620701.0
20220215,510050.SH,3.1,20220223,8,3.099999999999989,1075974.0,633685.0
20220216,510050.SH,3.116,20220223,7,3.099999999999989,1013385.0,631775.0
20220217,510050.SH,3.119,20220223,6,3.099999999999989,938562.0,672417.0
20220218,510050.SH,3.144,20220223,5,3.099999999999989,862019.0,620384.0
20220221,510050.SH,3.13,20220223,2,3.099999999999989,799933.0,499598.0
20220222,510050.SH,3.081,20220223,1,3.099999999999989,730559.0,409817.0
20220223,510050.SH,3.1,20220223,0,3.099999999999989,578113.0,276752.0
20220224,510050.SH,3.043,20220323,27,3.099999999999989,1150095.0,855407.0
20220225,510050.SH,3.056,20220323,26,3.099999999999989,1145317.0,862310.0
20220228,510050.SH,3.061,20220323,23,3.099999999999989,1192146.0,908172.0
