period,underlying_code,window,n_obs,single_b,single_t,single_p,single_r2,control_b_dev,control_t_dev,control_p_dev,control_b_ret5d,control_t_ret5d,control_r2,placebo_b,placebo_t,placebo_p,placebo_r2
Full Sample (2022-2026),510050.SH,All DTE,996,-0.10726427354339503,-2.4419166449059735,0.014609519406920013,0.005963177795255903,-0.0362786618667463,-0.5685801456479473,0.5696411018299088,-0.07743343969407156,-1.5329594031368061,0.008310042072736779,-0.08328686048552353,-0.5438255501874733,0.5865615248721796,0.008282549437041431
Full Sample (2022-2026),510050.SH,DTE <= 10,550,-0.07812875674939547,-1.589825244268125,0.111874201924137,0.00459113142193901,-0.07541617013610769,-1.1127489317800043,0.265816273792689,-0.003182615875343242,-0.0581777351813204,0.0045972906333764385,-0.1658746590297979,-1.0883605796088558,0.27643595656570574,0.00449981498060803
Full Sample (2022-2026),510050.SH,DTE <= 5,300,-0.09112378378724442,-1.7364399478613146,0.08248607395418839,0.01001684783759793,-0.038299953713829105,-0.5230555639881966,0.6009355870828883,-0.059714369815651314,-1.0342811032096766,0.01356978149978727,0.11533772847446438,0.7753095097346464,0.438156791374241,0.014655373467744814
Full Sample (2022-2026),510050.SH,DTE <= 3,200,-0.10999770319341241,-2.284253469929998,0.02235663876260552,0.02567596715252829,-0.12252721874780012,-1.7497261181954527,0.08016558462999179,0.01345285637733623,0.24697243756402232,0.02597754519591866,0.052969018068354454,0.3689089819283974,0.7121955682347685,0.011523308796606124
Full Sample (2022-2026),510300.SH,All DTE,996,-0.08608716918465563,-2.0366008948595904,0.04169005305050466,0.004155440147192158,-0.01889741200456263,-0.29916459147692803,0.7648144646699075,-0.07275874602401751,-1.4307907524271248,0.006204242852052011,0.0466589223788987,0.3332657274050272,0.7389337076253146,0.00622582431320573
Full Sample (2022-2026),510300.SH,DTE <= 10,550,-0.025799631491501322,-0.5812846785758395,0.5610486050143284,0.0006162110672126575,0.007772551931419826,0.12815060225176947,0.8980297913350679,-0.04168092170405955,-0.812458863353026,0.0018207586744001247,-0.12632798175568502,-0.9383437072109171,0.34806780510728097,0.0033949944743272287
Full Sample (2022-2026),510300.SH,DTE <= 5,300,-0.01386044585224019,-0.2938096224001774,0.7689033818403881,0.00028959427936603443,0.12358863499860885,1.8903182441161857,0.05871541021701754,-0.1688188903120598,-2.9944052824754457,0.029586486074505758,0.00942864696978644,0.06737957163793415,0.9462795316961088,0.017926139405102348
Full Sample (2022-2026),510300.SH,DTE <= 3,200,-0.08661563115687508,-1.9623601999063274,0.049720563019962416,0.019077736903559073,-0.009703739572403253,-0.1508562874580861,0.8800890833196529,-0.08753495729972367,-1.6375990825415325,0.0322515480048553,-0.1553460684280991,-1.1642535981987887,0.2443212550610132,0.03875374402187737
In-Sample (2022-2024),510050.SH,All DTE,721,-0.13836833644362823,-2.6161912354408736,0.008891674234761116,0.009429646418522286,-0.08766428992883549,-1.0606286795248911,0.28885868362347145,-0.04950941217075866,-0.7984285449353425,0.010308360462833677,-0.1728169858153724,-0.8390654079123507,0.40143260640387757,0.009728756613117229
In-Sample (2022-2024),510050.SH,DTE <= 10,396,-0.11286773727789934,-1.8575840250789473,0.06322810881969065,0.008681879585520913,-0.15461306285987284,-1.7274527488172509,0.08408638423599468,0.04400213964990421,0.6356173509392099,0.009699921715545345,-0.40184823030607153,-1.8876534746285714,0.0590724861495886,0.01114616017402592
In-Sample (2022-2024),510050.SH,DTE <= 5,216,-0.10603113506986471,-1.6474786026786055,0.09945971075899074,0.012524264329707768,-0.0976573173630166,-1.0217383504198014,0.30690475478333124,-0.008599391621269784,-0.11873133950278315,0.012589614815769368,0.05191378566661416,0.24685784003040867,0.8050182454494281,0.008033947568942157
