th_up,th_crash,trades,CAGR,MaxDD,Sharpe
0.45,0.18,16,0.0026151743474851497,-0.022565106774606547,0.1845956216237199
0.45,0.15,8,-0.0004653865714140393,-0.022521866782282518,-0.03857912763870447
0.4,0.18,25,-0.0008215021487826268,-0.02964123980824318,-0.03406080647412323
0.4,0.15,12,-0.0013409807534295881,-0.021696528783828405,-0.09920788532763852
0.5,0.18,14,-0.0021316926232466393,-0.022565106774606547,-0.16731797244316565
0.5,0.15,7,-0.0028684803893194166,-0.027074604162828253,-0.30832686283014404
0.5,0.23,27,-0.006105014270665898,-0.06563436560646124,-0.2989962450674364
0.45,0.23,42,-0.008472007350328603,-0.07530478395707382,-0.3309070495121394
0.5,0.2,22,-0.011246776927359314,-0.05203090170925606,-0.635441530942614
0.5,0.25,41,-0.012393040715801606,-0.06560822063291329,-0.4964602178703107
0.45,0.2,27,-0.014007667381532585,-0.07002961634150096,-0.7024895203136067
0.45,0.25,63,-0.016217630973391572,-0.08854449141624392,-0.5265018200273601
0.4,0.23,62,-0.0178709135674886,-0.09425565920427119,-0.5864375063009347
0.4,0.25,87,-0.02635794581640971,-0.11653268442109031,-0.7523393681016527
0.4,0.2,42,-0.02992220546700164,-0.11717522315156192,-1.2521022911502404
0.5,0.3,90,-0.035231913950905525,-0.18345579632928988,-0.9620285632826511
0.4,0.3,117,-0.037229495201132834,-0.1959848147305833,-0.9248549757042164
0.45,0.3,113,-0.03791951832134932,-0.1982941498461008,-0.9515225677611048
