trade_date,Strategy_Pure,Strategy_Hedged,Benchmark_EqualWeight,Benchmark_CSI1000
2024-09-02,1000000.0,1000000.0,987056.8376018511,1000000.0
2024-09-03,1001463.7307737883,1000000.0,995857.6409494414,1008799.088364848
2024-09-04,992303.348650547,1000000.0,989254.3145698609,1004027.5652700543
2024-09-05,1000601.2921988204,1000000.0,998103.8898997376,1011972.6024072728
2024-09-06,989740.0964215503,1000000.0,983923.390633089,994641.6062605418
2024-09-09,981757.2177361221,1000000.0,981545.0841205476,987427.9511485345
2024-09-10,983143.8860301469,1000000.0,984003.9003659093,990085.1955261041
2024-09-11,971576.1814421108,1000000.0,978081.3235944213,989739.0300969768
2024-09-12,972375.2036600847,1000000.0,977125.0887798493,985930.3278643312
2024-09-13,963987.7023426321,1000000.0,967569.0756821041,973672.8946291406
2024-09-18,962902.0399946021,1000000.0,963690.6171288627,970572.1878471443
2024-09-19,982739.0617626728,1000000.0,986522.8624510764,988915.6461699519
2024-09-20,983890.530746526,1000000.0,984882.2959868901,984741.5838667935
2024-09-23,987817.4973834845,1000000.0,987752.4275845586,986016.152180412
2024-09-24,1025952.0039802813,1000000.0,1021728.9537073084,1024278.5738160822
2024-09-25,1043008.3879694669,1000000.0,1034329.5201623854,1033920.0201212793
2024-09-26,1077947.8829604308,1000000.0,1070512.8085487501,1075370.2966233979
2024-09-27,1113751.0327008222,1000000.0,1113786.3029200977,1133243.0229133274
2024-09-30,1200727.5286493236,1000000.0,1207335.728995443,1259527.2161261463
2024-10-08,1252396.596529862,1000000.0,1262518.7335860527,1368331.930506573
2024-10-09,1171516.6323351066,1000000.0,1166827.128132109,1263620.74918671
2024-10-10,1179281.0024620949,1009590.0782432785,1171357.120958935,1247547.9948770164
2024-10-11,1155981.4374305364,989284.1954205179,1136268.8371955543,1195088.8193420211
2024-10-14,1182762.3757700718,1012247.9486945783,1164984.7770897448,1238993.3624047579
2024-10-15,1159260.7811195098,991185.0461286725,1146449.5723242508,1215037.5674432407
2024-10-16,1163852.6487031844,994726.120587906,1154310.6488672625,1218805.674112496
2024-10-17,1154518.8811631186,986250.9972398842,1143801.419714733,1214693.1670386086
2024-10-18,1177778.8142190017,1005980.6667305107,1170914.1883248838,1268486.4804639365
2024-10-21,1176714.3699420562,1004401.83524626,1182856.592453714,1293006.4213797415
2024-10-22,1190202.5576983923,1015543.8194836512,1201992.2260712038,1299237.8403601528
2024-10-23,1195881.4409363088,1019621.5467090394,1209694.8604076726,1302494.972438039
2024-10-24,1191929.6554929502,1015572.2859897723,1210223.573682308,1293240.507753421
2024-10-25,1201508.9113184123,1023020.6545143181,1235646.3363754298,1318232.5927217002
2024-10-28,1219462.962165055,1037800.5439146826,1270179.624284939,1341879.28776849
2024-10-29,1207634.4638118956,1027123.0265914709,1249752.8286989378,1320202.139430316
2024-10-30,1212991.9129197453,1031074.558096489,1256443.054312205,1328036.8625365824
2024-10-31,1220452.6885569876,1036463.8030663482,1274781.6385216857,1349507.5030088145
2024-11-01,1207817.8006679171,1024803.9243154312,1247334.6378134976,1308375.5928000233
2024-11-04,1223586.0701030267,1037519.1014084498,1268035.0062383218,1335486.3690467651
2024-11-05,1251462.7818912333,1060570.6210819103,1299183.2917195205,1382575.0162988976
2024-11-06,1256740.872518023,1064463.548581236,1308573.9398129252,1388454.9747766964
2024-11-07,1290021.056151282,1092651.970826719,1341635.3027958588,1412884.016930997
2024-11-08,1289443.068574189,1092162.4134956873,1339659.760206723,1417120.9582317981
2024-11-11,1301487.2736024503,1102363.8937726314,1358068.3049612811,1451513.1224055516
2024-11-12,1290674.4620562098,1093205.4077232443,1349356.86263533,1432311.2002938762
2024-11-13,1293059.022531223,1095225.1380913302,1348929.837448785,1428433.000221731
2024-11-14,1269940.225856583,1075643.4431808204,1315741.5632194628,1383821.3442205924
2024-11-15,1254125.9008959476,1062248.6592328092,1292936.1441716726,1351460.061356664
2024-11-18,1247326.9742538617,1056489.9465671843,1274996.1416144124,1318155.1522719723
2024-11-19,1251676.7656179226,1060174.2337995227,1298952.0807161413,1352512.8984680688
2024-11-20,1263563.7958794958,1070242.5865451247,1324589.279522008,1379102.5512325934
2024-11-21,1259391.3221316685,1066708.4879022792,1330833.5823709117,1381609.1066438828
2024-11-22,1224071.0901551256,1036792.1381689133,1289698.7545183757,1330494.8797742531
2024-11-25,1222874.5452540605,1035778.6608011627,1305676.3796253402,1335269.4916619135
2024-11-26,1212987.4008213675,1027404.2177649682,1298542.7580946903,1319702.1962420417
2024-11-27,1233032.9746349088,1044382.8830582813,1314457.1627581997,1349948.9797606843
2024-11-28,1230850.4579371226,1042534.2844173316,1319767.8372520532,1342761.1381319198
2024-11-29,1245063.0132058882,1054572.3643004857,1336631.2747208506,1365495.315514675
2024-12-02,1265468.1986951726,1071855.6218361966,1365217.1538311944,1392959.096660463
